;level_0;YEAR;index;VAR1;VAR2;VAR3
0;0;1926;0;1.501791434463457;1.9653679653679652;0.0133654401154401
1;1;1927;2;1.0682889819490786;0.8565583010190279;0.6718757777978176
2;2;1928;4;1.5119915095224692;0.5151796603808987;1.0750537104794071
3;3;1929;6;1.5188876612334619;0.0;1.5188876612334619
4;4;1930;8;1.516492198173888;1.7736480462835078;0.09910846526208769
5;5;1931;10;0.9015372637903517;0.4712486660369658;0.6123718772811485
6;6;1932;12;1.5172899553910868;1.9353752945136318;0.0266159542241669
7;7;1933;14;1.5310604648842154;1.9860859044162127;0.0043817301875378
8;8;1934;16;1.5303691263843509;1.9856006062902616;0.0036286472148541
9;9;1935;18;1.2081572181938034;0.9645232815964524;0.3791040031161982
10;10;1936;20;1.528859332723019;1.265076458820737;0.5078202759976943
11;11;1937;22;1.445548299348478;0.0;1.445548299348478
12;12;1938;24;1.4125794651419041;0.7084433723458113;0.9335901492003931
13;13;1939;26;1.5323952417576783;1.9949238578680204;0.0010223350253807
14;14;1940;28;1.490604867107201;0.623638230612402;0.9233958486986364
15;15;1941;30;1.3010386417482724;1.7942521227955583;0.0539304376224689
16;16;1942;32;1.528164753791743;1.9688328912466844;0.012017572944297
17;17;1943;34;1.5109871125248677;0.9855669949703634;0.6947168202380724
18;18;1944;36;1.4909033462185066;1.106267029972752;0.6463639115955192
19;19;1945;38;1.5337330430759764;1.574371402605271;0.2407982429566798
20;20;1946;40;1.4114178466200036;1.6257291986490636;0.1184725207245931
21;21;1947;42;1.5185966539161138;0.0;1.5185966539161138
22;22;1948;44;1.5974558089553044;1.6251802244889708;0.24403188592295139
23;23;1949;46;1.4155355075616753;1.5220516171185887;0.2086285527605357
24;24;1950;48;1.5256883209169603;1.8733665214685749;0.0489623522090852
25;25;1951;50;1.3577491310786713;1.9876084262701363;0.0029869888475836
26;26;1952;52;1.5788435610375506;1.9884290164663996;0.003066310636404
27;27;1953;54;1.4298491911589548;1.08173653754999;0.6005371143128695
28;28;1954;56;1.5473080512563673;1.847354726799653;0.0615819601040763
29;29;1955;58;1.5447219911353565;1.9832935560859188;0.0051392203659506
30;30;1956;60;1.5529310572877892;0.0687211093990755;1.514380363913367
31;31;1957;62;0.6090562770562771;0.7368927368927368;0.36365800865800857
32;32;1958;64;1.5664768283876915;0.7367890595696871;0.938435791993019
33;33;1959;66;1.5311156468348295;1.9575214341387372;0.0208569758378799
34;34;1960;68;1.5539724691130372;1.9699489827278873;0.0103667650132153
35;35;1961;70;1.2866226285583344;0.9693548387096774;0.4673258543647859
36;36;1962;72;1.5629186370815975;1.5156260568227482;0.23416793651172563
37;37;1963;74;1.48597529283184;1.3249047454104605;0.4443706269483893
38;38;1964;76;0.8282260718822692;0.39257166600254056;0.61042017205971
39;39;1965;78;0.5891417034095748;0.0;0.5891417034095748
40;40;1966;80;1.558646809238986;1.365957014352173;0.3722050891177284
41;41;1967;82;1.5142784728228267;0.0;1.5142784728228267
42;42;1968;84;1.5668323308498997;1.897767712714332;0.0465541895826593
43;43;1969;86;1.5074307344632767;0.6839924670433144;0.8931277589453861
44;44;1970;88;1.507753528389169;1.6967592592592593;0.1391385030864197
45;45;1971;90;1.3045204212895964;1.9746743849493487;0.0078885672937771
46;46;1972;92;1.4850084118514002;0.9579153326218426;0.6536630096051227
47;47;1973;94;1.5151690408820373;1.26635118873386;0.49396025221972867
48;48;1974;96;1.4742612218198963;0.0;1.4742612218198963
49;49;1975;98;1.4509911727466593;1.8633000964940494;0.0470759086522997
50;50;1976;100;1.4957143757881464;1.8726355611601513;0.0483303909205548
51;51;1977;102;1.5030184249032057;1.7307976882005731;0.15262520124574708
52;52;1978;104;1.5927027350986163;1.9901656314699792;0.0030631469979296
53;53;1979;106;1.4842444390551979;0.9157064544650753;0.6725147646835922
54;54;1980;108;0.7150923986638982;0.0;0.7150923986638982
55;55;1981;110;1.3372750326053602;1.0348307291666665;0.5254254557291667
56;56;1982;112;1.5015481185162503;1.9526963103122044;0.0149295175023651
57;57;1983;114;1.3750658175070514;0.0;1.3750658175070514
58;58;1984;116;1.378797245509268;0.6957470010905126;0.752859404724099
59;59;1985;118;1.3272981717152252;1.2825465492623285;0.3719795150622199
60;60;1986;120;1.5628232703958709;1.988558352402746;0.0029716247139588
61;61;1987;122;1.3928685874601676;1.0344063930723306;0.49025171341628415
62;62;1988;124;1.3298054123023213;1.0;0.4835465155051683
63;63;1989;126;1.29402501492823;0.2519635563933396;1.0830312983086887
64;64;1990;128;1.5587597095396362;1.8888977982975526;0.0465979789624562
65;65;1991;130;1.4886944521536654;0.0;1.4886944521536654
66;66;1992;132;1.3901901570896533;0.3437200651211141;1.1107344639320953
67;67;1993;134;1.5709125404007755;1.3281512605042016;0.4753894957983193
68;68;1994;136;1.559419155844156;1.990909090909091;0.0018688311688311
69;69;1995;138;0.644645024559517;0.9192773881381198;0.2838240536643776
70;70;1996;140;1.1827246841294299;0.0;1.1827246841294299
71;71;1997;142;1.5021237853111853;0.3427749263643546;1.2182063043287383
72;72;1998;144;1.548756153023007;1.9981273408239701;0.0002256554307116
73;73;1999;146;1.3277459988869436;1.796684391617141;0.0581332499218016
74;74;2000;148;1.5482225809693435;0.7281863982066148;0.9184117178880777
75;75;2001;150;1.5169321580354072;1.915504511894996;0.0367592288761279
76;76;2002;152;1.318026806515301;0.0;1.318026806515301
77;77;2003;154;1.0143215584519172;0.0;1.0143215584519172
78;78;2004;156;1.5270532267209398;1.87834290321312;0.0426928871540749
