PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
41000162;0.587;1;0.0;0.587;1.0;0.0
41000163;16.924;16;3.359;0.8462;0.8;0.16795
41000165;5.357;8;0.0;0.669625;1.0;0.0
41000166;15.538;13;3.662;0.914;0.7647058823529411;0.21541176470588236
41000167;8.077;8;4.882;0.36713636363636365;0.36363636363636365;0.2219090909090909
41000168;4.632;1;4.299;0.2573333333333333;0.05555555555555555;0.23883333333333334
41000369;0.287;0;0.287;0.287;0.0;0.287
41000370;0.208;0;0.208;0.208;0.0;0.208
41000371;0.216;0;0.216;0.216;0.0;0.216
41000372;0.258;0;0.258;0.258;0.0;0.258
41000373;0.262;0;0.262;0.262;0.0;0.262
41000374;0.209;0;0.209;0.209;0.0;0.209
41000382;5.222;2;4.72;0.27484210526315794;0.10526315789473684;0.24842105263157893
41000383;7.159;4;5.921;0.31126086956521737;0.17391304347826086;0.2574347826086957
41000384;0.534;0;0.534;0.267;0.0;0.267
41000385;0.456;0;0.456;0.228;0.0;0.228
41000386;2.464;1;2.1310000000000002;0.18953846153846154;0.07692307692307693;0.16392307692307695
41000387;2.533;1;2.2;0.21108333333333332;0.08333333333333333;0.18333333333333335
41000388;7.053;1;6.72;0.3918333333333333;0.05555555555555555;0.3733333333333333
41000389;7.345;2;6.829;0.386578947368421;0.10526315789473684;0.3594210526315789
41000390;8.945;5;7.316;0.34403846153846157;0.19230769230769232;0.2813846153846154
41000391;13.664;5;10.99;0.506074074074074;0.18518518518518517;0.40703703703703703
41000392;19.133;8;12.509;0.8696818181818181;0.36363636363636365;0.5685909090909091
41000393;19.849;9;12.201;0.8270416666666667;0.375;0.508375
41000394;19.128;8;12.504;0.8694545454545455;0.36363636363636365;0.5683636363636363
41000395;19.476;8;12.84;0.8467826086956521;0.34782608695652173;0.5582608695652174
41000396;14.178;12;4.4239999999999995;0.7876666666666667;0.6666666666666666;0.24577777777777776
41000397;12.779;10;3.481;0.8519333333333333;0.6666666666666666;0.23206666666666667
41000398;8.464;11;0.667;0.7053333333333334;0.9166666666666666;0.05558333333333334
41001162;14.709;16;1.545;0.8171666666666666;0.8888888888888888;0.08583333333333333
41001166;15.684;13;3.801;0.9225882352941176;0.7647058823529411;0.22358823529411764
41001167;4.073;5;0.0;0.8146000000000001;1.0;0.0
41001168;18.103;13;6.736;0.8228636363636365;0.5909090909090909;0.30618181818181817
41001169;20.06;9;12.591;0.8358333333333333;0.375;0.524625
41001369;0.331;0;0.331;0.331;0.0;0.331
41001370;0.312;0;0.312;0.312;0.0;0.312
41001371;0.263;0;0.263;0.263;0.0;0.263
41001372;0.197;0;0.197;0.197;0.0;0.197
41001373;0.186;0;0.186;0.186;0.0;0.186
41001374;0.195;0;0.195;0.195;0.0;0.195
41001383;0.149;0;0.149;0.149;0.0;0.149
41001384;0.15;0;0.15;0.15;0.0;0.15
41001385;0.15;0;0.15;0.15;0.0;0.15
41001386;0.15;0;0.15;0.15;0.0;0.15
41001387;4.444;1;4.111;0.23389473684210527;0.05263157894736842;0.21636842105263157
41001388;5.7860000000000005;1;5.453;0.3045263157894737;0.05263157894736842;0.28700000000000003
41001389;8.48;2;7.975;0.4463157894736842;0.10526315789473684;0.41973684210526313
41001390;9.199;2;8.597999999999999;0.5411176470588235;0.11764705882352941;0.5057647058823529
41001391;15.311;6;10.918;0.665695652173913;0.2608695652173913;0.474695652173913
41001392;18.053;15;5.605;0.7522083333333334;0.625;0.23354166666666668
41001393;17.937;13;6.623;0.8153181818181818;0.5909090909090909;0.30104545454545456
41001394;19.842;10;12.02;0.7936799999999999;0.4;0.4808
41001395;16.14;13;4.594;0.8494736842105264;0.6842105263157895;0.24178947368421055
41001396;13.897;12;4.595000000000001;0.7720555555555556;0.6666666666666666;0.2552777777777778
41001397;15.553;15;3.659;0.7406190476190476;0.7142857142857143;0.17423809523809522
41001398;3.699;5;0.0;0.7398;1.0;0.0
41002161;0.943;1;0.0;0.943;1.0;0.0
41002169;15.899000000000001;15;3.635;0.79495;0.75;0.18175
41002170;19.675;9;12.514;0.8554347826086957;0.391304347826087;0.5440869565217391
41002368;0.188;0;0.188;0.188;0.0;0.188
41002369;0.188;0;0.188;0.188;0.0;0.188
41002370;0.295;0;0.295;0.295;0.0;0.295
41002371;0.333;0;0.333;0.333;0.0;0.333
41002372;0.314;0;0.314;0.314;0.0;0.314
41002373;0.227;0;0.227;0.227;0.0;0.227
41002374;0.15;0;0.15;0.15;0.0;0.15
41002385;0.148;0;0.148;0.148;0.0;0.148
41002386;0.15;0;0.15;0.15;0.0;0.15
41002387;0.279;0;0.279;0.279;0.0;0.279
41002388;8.306;1;8.044;0.4371578947368421;0.05263157894736842;0.4233684210526316
41002389;7.687;4;6.42;0.3202916666666667;0.16666666666666666;0.2675
41002390;15.974;5;13.264;0.6143846153846154;0.19230769230769232;0.5101538461538462
41002391;20.652;12;12.587;0.7375714285714287;0.42857142857142855;0.44953571428571426
41002392;20.305;11;12.411;0.7809615384615385;0.4230769230769231;0.4773461538461538
41002393;19.645;9;12.508000000000001;0.8541304347826086;0.391304347826087;0.5438260869565218
41002394;19.306;9;11.935;0.8044166666666667;0.375;0.4972916666666667
41002395;16.645;14;4.829;0.7926190476190476;0.6666666666666666;0.22995238095238094
41002396;15.939;16;3.5660000000000003;0.7245;0.7272727272727273;0.1620909090909091
41002397;14.937;15;4.048;0.7112857142857143;0.7142857142857143;0.19276190476190477
41003170;19.724;9;12.522;0.8575652173913043;0.391304347826087;0.5444347826086957
41003371;0.199;0;0.199;0.199;0.0;0.199
41003372;0.313;0;0.313;0.313;0.0;0.313
41003373;0.207;0;0.207;0.207;0.0;0.207
41003388;0.202;0;0.202;0.202;0.0;0.202
41003389;7.251;4;6.007000000000001;0.3152608695652174;0.17391304347826086;0.2611739130434783
41003390;13.202;10;8.119;0.5077692307692308;0.38461538461538464;0.31226923076923074
41003391;14.555;9;9.16;0.6328260869565218;0.391304347826087;0.3982608695652174
41003392;15.603;8;9.728;0.6783913043478261;0.34782608695652173;0.4229565217391304
41003393;9.635;7;6.152;0.41891304347826086;0.30434782608695654;0.2674782608695652
41003394;11.849;9;7.067;0.5151739130434783;0.391304347826087;0.3072608695652174
41003395;13.231;11;3.545;0.8269375;0.6875;0.2215625
41003396;3.912;5;0.0;0.7824;1.0;0.0
41004171;16.668;14;4.891;0.8333999999999999;0.7;0.24455
41004372;0.143;0;0.143;0.143;0.0;0.143
41004389;12.11;6;8.919;0.5265217391304348;0.2608695652173913;0.3877826086956522
41004390;13.727;8;9.281;0.5719583333333333;0.3333333333333333;0.3867083333333334
41004391;14.846;6;10.692;0.6185833333333334;0.25;0.4455
41004392;15.214;6;10.855;0.6614782608695652;0.2608695652173913;0.47195652173913044
41004393;9.561;6;7.056;0.398375;0.25;0.294
41004394;15.473;9;8.772;0.6727391304347826;0.391304347826087;0.3813913043478261
41004395;15.538;15;4.17;0.739904761904762;0.7142857142857143;0.19857142857142857
41005158;0.638;1;0.0;0.638;1.0;0.0
41005172;14.367;13;3.987;0.7981666666666667;0.7222222222222222;0.2215
41005389;11.86;8;7.057;0.5390909090909091;0.36363636363636365;0.32077272727272726
41005390;14.688;6;10.857;0.6386086956521739;0.2608695652173913;0.4720434782608695
41005391;14.377;6;10.828;0.5990416666666667;0.25;0.45116666666666666
41005392;21.038;13;12.409;0.725448275862069;0.4482758620689655;0.42789655172413793
41005393;20.004;9;12.668;0.8335;0.375;0.5278333333333333
41005394;19.936;9;12.847;0.8306666666666667;0.375;0.5352916666666666
41005395;13.156;15;1.0;0.82225;0.9375;0.0625
41006157;15.845;15;3.644;0.79225;0.75;0.1822
41006158;15.339;16;2.762;0.76695;0.8;0.1381
41006159;18.987000000000002;12;8.819;0.8255217391304349;0.5217391304347826;0.3834347826086957
41006172;14.526;12;4.232;0.8069999999999999;0.6666666666666666;0.23511111111111113
41006379;0.115;0;0.115;0.115;0.0;0.115
41006380;0.115;0;0.115;0.115;0.0;0.115
41006381;0.121;0;0.121;0.121;0.0;0.121
41006389;12.327;6;9.165;0.513625;0.25;0.38187499999999996
41006390;13.726;6;9.897;0.5719166666666667;0.25;0.412375
41006391;13.368;6;10.206;0.5812173913043478;0.2608695652173913;0.4437391304347826
41006392;21.105;11;13.255;0.75375;0.39285714285714285;0.47339285714285717
41006393;20.014;9;12.668;0.8339166666666666;0.375;0.5278333333333333
41006394;20.1;9;12.626;0.8375;0.375;0.5260833333333333
41006395;14.421;15;1.647;0.8482941176470588;0.8823529411764706;0.09688235294117648
41007157;15.376;15;4.097;0.7321904761904762;0.7142857142857143;0.19509523809523813
41007158;20.951;5;17.622;0.74825;0.17857142857142858;0.6293571428571428
41007159;21.806;11;13.266;0.7787857142857143;0.39285714285714285;0.4737857142857143
41007160;16.326999999999998;13;4.809;0.8593157894736841;0.6842105263157895;0.2531052631578947
41007173;15.067;15;4.849;0.6848636363636363;0.6818181818181818;0.22040909090909092
