YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;2115.451;0.7110759663865547;2877.0;0.9670588235294117;39.727000000000004;0.013353613445378153
1927;897.629;0.3327016308376575;1493.0;0.5533728687916976;334.124;0.12384136397331358
1928;2355.242;0.7443874841972188;1371.0;0.4333122629582807;1124.995;0.35556099873577746
1929;1948.247;0.7557203258339799;239.0;0.09270752521334368;1761.223;0.6831741660201707
1930;2268.5150000000003;0.6952237205026051;2888.0;0.8850750842782715;135.111;0.04140698743487588
1931;1133.701;0.3837850372376439;505.0;0.17095463777928233;871.973;0.29518381855111714
1932;2323.6050000000005;0.7348529411764707;2896.0;0.915876027830487;104.614;0.033084756483238456
1933;1137.037;0.7446214800261952;1507.0;0.9869024230517355;6.220000000000001;0.004073346430910282
1934;2182.429;0.749717966334593;2829.0;0.971830985915493;22.021;0.007564754379938166
1935;1067.977;0.3656203355015406;0.0;0.0;1067.977;0.3656203355015406
1936;1384.3559999999998;0.7699421579532812;1765.0;0.9816462736373749;8.719999999999999;0.004849833147942157
1937;2114.712;0.6625037593984963;0.0;0.0;2114.712;0.6625037593984963
1938;1515.1840000000002;0.505566900233567;1451.0;0.48415081748415084;625.985;0.20887053720387055
1939;741.6489999999999;0.7124390009606146;1035.0;0.9942363112391931;1.192;0.0011450528338136407
1940;2271.295;0.7093363522798252;827.0;0.25827607745159276;1588.0;0.49594003747657717
1941;1274.698;0.43609237085186453;1858.0;0.6356483065343825;296.76099999999997;0.10152617174136161
1942;2369.809;0.7473380637023022;3046.0;0.9605802585935036;47.625;0.015018921475875118
1943;2422.6059999999998;0.6959511634587762;310.0;0.08905486929043378;2193.291;0.6300749784544671
1944;2214.573;0.6791085556577736;212.0;0.06501073290401717;2090.33;0.6410088929776142
1945;2320.882;0.683014125956445;1423.0;0.4187757504414361;1173.949;0.3454823425544438
1946;1752.587;0.5436063895781638;1659.0;0.5145781637717122;533.21;0.1653877171215881
1947;1870.297;0.7412988505747127;0.0;0.0;1870.297;0.7412988505747127
1948;2293.169;0.70364191469776;2872.0;0.8812519177661859;141.698;0.043478981282602025
1949;1630.56;0.5455202408832385;1277.0;0.4272331883573101;800.442;0.26779591836734695
1950;2201.479;0.6894704040087691;2665.0;0.83463827121829;204.73600000000005;0.06412026307547762
1951;988.5930000000001;0.7295889298892989;1340.0;0.988929889298893;3.6830000000000003;0.0027180811808118085
1952;1820.077;0.7564742310889443;2373.0;0.986284289276808;8.986;0.0037348295926849543
1953;2025.007;0.5962918138987043;148.0;0.043580683156654886;1956.9340000000002;0.5762467608951708
1954;1614.473;0.7439967741935484;2137.0;0.9847926267281106;9.744;0.004490322580645161
1955;1693.054;0.7541443207126949;2213.0;0.9857461024498887;8.527000000000001;0.0037982182628062367
1956;2033.401;0.6384304552590268;0.0;0.0;2033.401;0.6384304552590268
1957;564.075;0.30391971982758625;897.0;0.4832974137931034;275.504;0.1484396551724138
1958;2330.188;0.7286391494684178;0.0;0.0;2330.188;0.7286391494684178
1959;2046.25;0.7478983918128655;2600.0;0.9502923976608187;61.114;0.022336988304093565
1960;911.6320000000001;0.7393609083536091;1206.0;0.9781021897810219;11.022000000000002;0.00893917274939173
1961;1128.698;0.37460935944241625;0.0;0.0;1128.698;0.37460935944241625
1962;2223.77;0.6912558284115635;1314.0;0.4084550823748834;1118.5520000000001;0.34770034193347843
1963;2299.7960000000003;0.7091569534381746;652.0;0.20104841196423065;1834.88;0.5657971014492754
1964;1221.613;0.4196540707660598;237.0;0.08141532119546548;1119.607;0.384612504294057
1965;533.143;0.2817880549682875;0.0;0.0;533.143;0.2817880549682875
1966;2169.098;0.7146945634266886;987.0;0.32520593080724874;1332.798;0.4391426688632619
1967;1832.893;0.6527396723646723;0.0;0.0;1832.893;0.6527396723646723
1968;2407.569;0.7563836003770028;2677.0;0.8410304743952246;237.48;0.07460885956644675
1969;2245.128;0.7670406559617357;302.0;0.10317731465664502;1999.409;0.6830915613255893
1970;1865.062;0.7463233293317326;2275.0;0.9103641456582633;82.50099999999999;0.033013605442176866
1971;957.311;0.7197827067669174;1301.0;0.9781954887218045;9.51;0.007150375939849624
1972;1912.3220000000001;0.6891250450450451;1813.0;0.6533333333333333;416.087;0.14994126126126125
1973;1713.6680000000001;0.7008867075664622;2237.0;0.9149284253578732;76.093;0.031121881390593048
1974;1571.969;0.711942481884058;456.0;0.20652173913043478;1179.662;0.5342672101449275
1975;2028.3310000000001;0.6551456718346254;2657.0;0.8582041343669251;140.714;0.04545025839793282
1976;455.275;0.6695220588235293;649.0;0.9544117647058824;9.961;0.014648529411764706
1977;1543.641;0.7179725581395349;1615.0;0.7511627906976744;303.684;0.14124837209302327
1978;1461.259;0.767467962184874;1892.0;0.9936974789915967;2.5;0.0013130252100840337
1979;1660.545;0.7012436655405405;1752.0;0.7398648648648649;253.61900000000003;0.10710261824324326
1980;523.3030000000001;0.2889580342352292;0.0;0.0;523.3030000000001;0.2889580342352292
1981;1646.2269999999999;0.5411660092044707;89.0;0.02925706771860618;1614.259;0.5306571334648258
1982;1542.3990000000001;0.7609269856931427;1958.0;0.9659595461272817;19.004;0.0093754316724223
1983;1926.862;0.6142371692700032;0.0;0.0;1926.862;0.6142371692700032
1984;1855.581;0.5802317073170732;0.0;0.0;1855.581;0.5802317073170732
1985;1276.434;0.42775938337801606;1623.0;0.5439008042895442;417.26300000000003;0.1398334450402145
1986;1704.788;0.762427549194991;2214.0;0.9901610017889088;5.646;0.002525044722719141
