;level_0;YEAR;index;VAR1;VAR2;VAR3
0;0;1926;0;1.4886848949579834;1.9670588235294115;0.0133536134453781
1;1;1927;2;1.0437771269540683;0.7461934479771224;0.6960666184937861
2;2;1928;4;1.5198678380740573;0.5114331207435162;1.0817633537846467
3;3;1929;6;1.5218611739377592;0.0;1.5218611739377592
4;4;1930;8;1.514218435807234;1.7531745911429804;0.1083258449020234
5;5;1931;10;0.6967379168187957;0.1709546377792823;0.6081366981322689
6;6;1932;12;1.503010333863275;1.9158760278304872;0.0330847564832384
7;7;1933;14;1.5704384811098842;1.9828300769686202;0.0066275902901124
8;8;1934;16;1.5238154885654884;1.9718406593406592;0.0075621565934065
9;9;1935;18;1.1975860091471735;0.9331797235023042;0.3955744884098464
10;10;1936;20;1.5219592289719626;1.1549786970863112;0.5810567911627267
11;11;1937;22;1.423943562510177;0.0;1.423943562510177
12;12;1938;24;1.3700551465825241;0.5315472231898745;1.048729860917181
13;13;1939;26;1.5116411497412987;1.994157740993184;0.0011353456669912
14;14;1940;28;1.482151102484966;0.4300168634064081;1.0845305291291483
15;15;1941;30;1.3077680079179812;1.6356483065343825;0.1015261717413616
16;16;1942;32;1.523529754997586;1.9605802585935037;0.0150189214758751
17;17;1943;34;1.4904302429566842;0.9656239069473375;0.6816774889147181
18;18;1944;36;1.4843626329109925;1.065010732904017;0.6410088929776142
19;19;1945;38;1.4742225851709465;1.4187757504414362;0.3454823425544438
20;20;1946;40;1.3252944546776213;1.5145781637717122;0.1653877171215881
21;21;1947;42;1.5163770552537865;0.0;1.5163770552537865
22;22;1948;44;1.5395824391988555;1.512313509094625;0.32691138360923766
23;23;1949;46;1.3898176585145832;1.4272331883573102;0.2677959183673469
24;24;1950;48;1.5259356634634744;1.83463827121829;0.0641202630754776
25;25;1951;50;1.3644878831076266;1.9877049180327868;0.0030474238875878
26;26;1952;52;1.552697007006326;1.9863070539419088;0.0037286307053941
27;27;1953;54;1.3733318392008027;1.0435806831566548;0.57635777385159
28;28;1954;56;1.5254139793486894;1.743447180301827;0.113275615567911
29;29;1955;58;1.5399975287400955;1.983063605570192;0.0045340609710199
30;30;1956;60;1.4810776759642337;0.0;1.4810776759642337
31;31;1957;62;0.5942976725834916;0.5541635555253868;0.4238569780070595
32;32;1958;64;1.5435097163105094;0.6990809793366627;0.964668707281952
33;33;1959;66;1.528778697415582;1.9502923976608189;0.0223369883040935
34;34;1960;68;1.5584338646752838;1.966779634300126;0.0122421973518284
35;35;1961;70;1.215784112175514;0.9334600760456274;0.4075331616051717
36;36;1962;72;1.536543007898743;1.1623012362210372;0.48825931629245267
37;37;1963;74;1.5151608605176325;1.2010484119642306;0.5657971014492754
38;38;1964;76;0.7853285990679466;0.2040568306294276;0.6785134476902834
39;39;1965;78;0.5841662504570093;0.0;0.5841662504570093
40;40;1966;80;1.55325300498513;1.2602708658721837;0.4654846602052532
41;41;1967;82;1.5107784320545947;0.0;1.5107784320545947
42;42;1968;84;1.5977720895856358;1.8410304743952246;0.0746088595664467
43;43;1969;86;1.5112460622710624;0.6263278388278388;0.9334997252747252
44;44;1970;88;1.506666265321115;1.5682882882882883;0.2386118918918919
45;45;1971;90;1.3542180335791887;1.9792809262644728;0.0062809262644728
46;46;1972;92;1.476592287832975;0.827866793608814;0.7619514843340673
47;47;1973;94;1.511570749917952;1.2707827371184772;0.4882013619954052
48;48;1974;96;1.4679456753839768;0.0;1.4679456753839768
49;49;1975;98;1.4542607247156747;1.8582499192767195;0.0459257345818534
50;50;1976;100;1.4932890025062657;1.8596491228070176;0.055625313283208
51;51;1977;102;1.4922574836016695;1.7127746433649833;0.1591694041557726
52;52;1978;104;1.5802753590418743;1.9896426721905747;0.003224236147074
53;53;1979;106;1.4743742204119925;0.7783153962024814;0.7905200752170293
54;54;1980;108;0.5937470782526759;0.0;0.5937470782526759
55;55;1981;110;1.350123882498695;1.0292474531712126;0.5308113703581991
56;56;1982;112;1.5072756828546283;1.9447795823665892;0.0191113689095127
57;57;1983;114;1.3476208690403904;0.0;1.3476208690403904
58;58;1984;116;1.3753636225067056;0.6913849509269356;0.7473309071304788
59;59;1985;118;1.275325918684323;1.157626465895577;0.44168851829750844
