PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
42588620;1.6380000000000001;1;1.332;0.3276;0.2;0.2664
42588628;18.808;16;6.372;0.8177391304347826;0.6956521739130435;0.27704347826086956
42588631;19.069;15;6.593;0.8667727272727273;0.6818181818181818;0.29968181818181816
42589599;5.4879999999999995;5;1.0;0.9146666666666666;0.8333333333333334;0.16666666666666666
42589632;11.25;14;0.792;0.75;0.9333333333333333;0.0528
42589640;14.12;13;3.501;0.8305882352941176;0.7647058823529411;0.20594117647058824
42590633;9.955;13;0.489;0.7110714285714286;0.9285714285714286;0.03492857142857143
42590638;8.292;9;0.0;0.9213333333333333;1.0;0.0
42590639;9.053;10;0.0;0.9053000000000001;1.0;0.0
42590640;11.891;14;1.0;0.7927333333333333;0.9333333333333333;0.06666666666666667
42591633;16.544;14;5.0;0.8707368421052631;0.7368421052631579;0.2631578947368421
42591634;18.859;15;6.521;0.8572272727272728;0.6818181818181818;0.2964090909090909
42591635;19.041;15;6.577;0.8655;0.6818181818181818;0.2989545454545455
42591640;2.0;2;0.0;1.0;1.0;0.0
42592620;0.875;0;0.875;0.875;0.0;0.875
42592636;8.961;11;0.0;0.8146363636363637;1.0;0.0
42593600;0.148;0;0.148;0.148;0.0;0.148
42593620;0.385;0;0.385;0.385;0.0;0.385
42594620;0.684;0;0.684;0.684;0.0;0.684
42595620;0.261;0;0.261;0.261;0.0;0.261
42595621;0.784;1;0.0;0.784;1.0;0.0
42596620;0.257;0;0.257;0.257;0.0;0.257
42596621;11.838000000000001;9;4.0;0.9106153846153847;0.6923076923076923;0.3076923076923077
42597600;0.202;0;0.202;0.202;0.0;0.202
42597620;0.202;0;0.202;0.202;0.0;0.202
42598599;4.837;6;0.0;0.8061666666666666;1.0;0.0
42600587;2.0;2;0.0;1.0;1.0;0.0
42601587;9.097;10;0.0;0.9097;1.0;0.0
42602621;24.616;11;15.892;0.76925;0.34375;0.496625
42604620;0.202;0;0.202;0.202;0.0;0.202
42605620;0.168;0;0.168;0.168;0.0;0.168
42607588;8.96;10;0.0;0.8960000000000001;1.0;0.0
42608588;8.96;10;0.0;0.8960000000000001;1.0;0.0
42608621;19.876;7;16.236;0.5845882352941176;0.20588235294117646;0.4775294117647059
42609589;17.103;14;4.963;0.9001578947368422;0.7368421052631579;0.2612105263157895
