YEAR;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
1926;1.5014362026070271;1.9670588235294115;0.0133536134453781;0.7507181013035136;0.9835294117647058;0.00667680672268905
1927;1.0704504231081888;0.8142424340090888;0.656140880881526;0.5352252115540944;0.4071212170045444;0.328070440440763
1928;1.4926523848594704;0.506159945077486;1.057392124563592;0.7463261924297352;0.253079972538743;0.528696062281796
1929;1.5102377387693031;0.0927075252133436;1.437691578955494;0.7551188693846516;0.0463537626066718;0.718845789477747
1930;1.5181642178383066;1.750083965272943;0.109560628642691;0.7590821089191533;0.8750419826364715;0.0547803143213455
1931;0.6967379168187957;0.1709546377792823;0.6081366981322689;0.34836895840939786;0.08547731888964115;0.30406834906613445
1932;1.5127332228666115;1.9158760278304872;0.0330847564832384;0.7563666114333057;0.9579380139152436;0.0165423782416192
1933;1.4435648762526103;1.9869024230517356;0.0040733464309102;0.7217824381263052;0.9934512115258678;0.0020366732154551
1934;1.4910730683754094;1.971830985915493;0.0075647543799381;0.7455365341877047;0.9859154929577465;0.00378237718996905
1935;1.1973576626904807;0.9331797235023042;0.3953461419531535;0.5986788313452404;0.4665898617511521;0.19767307097657674
1936;1.52989646375293;1.2927183298763905;0.47559675757676456;0.764948231876465;0.6463591649381952;0.23779837878838228
1937;1.449664004582384;0.0;1.449664004582384;0.724832002291192;0.0;0.724832002291192
1938;1.3704785236725678;0.5321815571575417;1.0488974344180875;0.6852392618362839;0.26609077857877084;0.5244487172090437
1939;1.518504218351919;1.9942363112391932;0.0011450528338136;0.7592521091759595;0.9971181556195966;0.0005725264169068
1940;1.4782966628924221;0.8449887607993063;0.7289296837233415;0.7391483314462111;0.42249438039965315;0.3644648418616708
1941;1.3079961981335133;1.6356483065343825;0.1015261717413616;0.6539980990667567;0.8178241532671913;0.0507630858706808
1942;1.5213542507526618;1.9605802585935037;0.0150189214758751;0.7606771253763309;0.9802901292967519;0.00750946073793755
1943;1.4873004042396873;0.9632414202665726;0.6828146747668316;0.7436502021198437;0.4816207101332863;0.3414073373834158
1944;1.4843626329109925;1.065010732904017;0.6410088929776142;0.7421813164554962;0.5325053664520085;0.3205044464888071
1945;1.469692250956445;1.4187757504414362;0.3454823425544438;0.7348461254782225;0.7093878752207181;0.1727411712772219
1946;1.3252944546776213;1.5145781637717122;0.1653877171215881;0.6626472273388107;0.7572890818858561;0.08269385856079405
1947;1.516897534785239;0.0;1.516897534785239;0.7584487673926195;0.0;0.7584487673926195
1948;1.539169295650141;1.5098233463376145;0.32931112413974484;0.7695846478250705;0.7549116731688073;0.16465556206987242
1949;1.3898176585145832;1.4272331883573102;0.2677959183673469;0.6949088292572916;0.7136165941786551;0.13389795918367345
1950;1.5259356634634744;1.83463827121829;0.0641202630754776;0.7629678317317372;0.917319135609145;0.0320601315377388
1951;1.3042185595189286;1.988929889298893;0.0027180811808118;0.6521092797594643;0.9944649446494465;0.0013590405904059
1952;1.547407004198188;1.986284289276808;0.0037348295926849;0.773703502099094;0.993142144638404;0.00186741479634245
1953;1.3689162196039342;1.0435806831566548;0.5762467608951708;0.6844581098019671;0.5217903415783274;0.2881233804475854
1954;1.545044142614601;1.9847926267281106;0.0044903225806451;0.7725220713073006;0.9923963133640553;0.00224516129032255
1955;1.5093698846224692;1.9857461024498888;0.0037982182628062;0.7546849423112346;0.9928730512249444;0.0018991091314031
1956;1.4787115849124284;0.0;1.4787115849124284;0.7393557924562142;0.0;0.7393557924562142
1957;0.5942976725834916;0.5541635555253868;0.4238569780070595;0.2971488362917458;0.2770817777626934;0.21192848900352976
1958;1.5662109443402126;0.8487179487179487;0.8144840212632896;0.7831054721701063;0.42435897435897435;0.4072420106316448
1959;1.528778697415582;1.9502923976608189;0.0223369883040935;0.764389348707791;0.9751461988304094;0.01116849415204675
1960;1.5413398557220301;1.9675758739915485;0.0134865411704443;0.7706699278610151;0.9837879369957743;0.00674327058522215
1961;1.2147291313055342;0.9334600760456274;0.4064781807351918;0.6073645656527671;0.4667300380228137;0.2032390903675959
1962;1.536543007898743;1.1623012362210372;0.48825931629245267;0.7682715039493715;0.5811506181105186;0.24412965814622634
1963;1.5153665342764977;1.2010484119642306;0.5657971014492754;0.7576832671382489;0.6005242059821153;0.2828985507246377
1964;0.7853285990679466;0.2040568306294276;0.6785134476902834;0.3926642995339733;0.1020284153147138;0.3392567238451417
1965;0.5841662504570093;0.0;0.5841662504570093;0.29208312522850466;0.0;0.29208312522850466
1966;1.55325300498513;1.2602708658721837;0.4654846602052532;0.776626502492565;0.6301354329360919;0.2327423301026266
1967;1.5107784320545947;0.0;1.5107784320545947;0.7553892160272974;0.0;0.7553892160272974
1968;1.5977720895856358;1.8410304743952246;0.0746088595664467;0.7988860447928179;0.9205152371976123;0.03730442978322335
1969;1.4663393572604368;0.9083721198514503;0.7639876652216933;0.7331696786302184;0.45418605992572514;0.38199383261084663
1970;1.507410400571838;1.9103641456582632;0.0330136054421768;0.753705200285919;0.9551820728291316;0.0165068027210884
1971;1.3089427067669175;1.9781954887218043;0.0071503759398496;0.6544713533834587;0.9890977443609021;0.0035751879699248
1972;1.4703569727558885;1.4816465863453816;0.22205571909258648;0.7351784863779443;0.7408232931726908;0.11102785954629324
1973;1.4793867075664622;1.242514632254425;0.5094011917354205;0.7396933537832311;0.6212573161272125;0.25470059586771027
1974;1.5140846138637534;0.2065217391304347;1.336409342124623;0.7570423069318767;0.10326086956521735;0.6682046710623115
