PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40988522;40;LKO_CAN;16.641;14;4.0;0.9244999999999999;0.7777777777777778;0.2222222222222222
40988524;40;LKO_CAN;2.242;3;0.0;0.7473333333333333;1.0;0.0
40988525;40;LKO_CAN;21.226;17;8.440999999999999;0.8163846153846154;0.6538461538461539;0.3246538461538461
40988526;40;LKO_CAN;19.861;14;8.538;0.8275416666666667;0.5833333333333334;0.35575
40988527;40;LKO_CAN;11.042;9;7.612;0.408962962962963;0.3333333333333333;0.2819259259259259
40988528;40;LKO_CAN;15.412;5;12.624;0.61648;0.2;0.5049600000000001
40988529;40;LKO_CAN;21.22;16;8.264;0.8488;0.64;0.33055999999999996
40988530;40;LKO_CAN;21.271;12;11.563;0.7596785714285714;0.42857142857142855;0.41296428571428573
40988531;40;LKO_CAN;0.859;1;0.0;0.859;1.0;0.0
40988557;40;LKO_CAN;2.0;2;0.0;1.0;1.0;0.0
40988558;40;LKO_CAN;1.9529999999999998;2;0.0;0.9764999999999999;1.0;0.0
40989288;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40989289;40;LKO_CAN;19.313;13;9.14;0.77252;0.52;0.36560000000000004
40989497;40;LKO_CAN;0.153;0;0.153;0.153;0.0;0.153
40989498;40;LKO_CAN;0.225;0;0.225;0.225;0.0;0.225
40989499;40;LKO_CAN;0.231;0;0.231;0.231;0.0;0.231
40989500;40;LKO_CAN;0.169;0;0.169;0.169;0.0;0.169
40989501;40;LKO_CAN;0.217;0;0.217;0.217;0.0;0.217
40989502;40;LKO_CAN;0.258;0;0.258;0.258;0.0;0.258
40989503;40;LKO_CAN;0.177;0;0.177;0.177;0.0;0.177
40989504;40;LKO_CAN;0.143;0;0.143;0.143;0.0;0.143
40989505;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40989506;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40989507;40;LKO_CAN;0.426;0;0.426;0.213;0.0;0.213
40989508;40;LKO_CAN;2.947;4;1.883;0.368375;0.5;0.235375
40989509;40;LKO_CAN;6.737;8;4.3790000000000004;0.25911538461538464;0.3076923076923077;0.16842307692307695
40989510;40;LKO_CAN;8.693;5;6.58;0.3779565217391304;0.21739130434782608;0.28608695652173916
40989511;40;LKO_CAN;11.735;5;9.658;0.48895833333333333;0.20833333333333334;0.40241666666666664
40989512;40;LKO_CAN;21.178;10;13.478;0.8145384615384615;0.38461538461538464;0.5183846153846153
40989513;40;LKO_CAN;18.873;14;7.658;0.786375;0.5833333333333334;0.31908333333333333
40989514;40;LKO_CAN;20.865;14;9.348;0.8025;0.5384615384615384;0.3595384615384616
40989515;40;LKO_CAN;18.485;12;8.335;0.8402272727272727;0.5454545454545454;0.3788636363636364
40989516;40;LKO_CAN;17.566;13;6.2620000000000005;0.8783;0.65;0.31310000000000004
40989517;40;LKO_CAN;20.015;14;8.45;0.8702173913043478;0.6086956521739131;0.3673913043478261
40989518;40;LKO_CAN;19.149;13;8.348;0.8704090909090909;0.5909090909090909;0.3794545454545455
40989519;40;LKO_CAN;21.476;16;8.411999999999999;0.826;0.6153846153846154;0.3235384615384615
40989520;40;LKO_CAN;21.678;17;8.068999999999999;0.8337692307692308;0.6538461538461539;0.3103461538461538
