PT_ID;VAR1;VAR2;VAR3;SECTION;TILE
40840500;0.294;0;0.294;LKO_CAN;40
40852341;1.0;0;1.0;LKO_CAN;40
40852342;0.793;0;0.793;LKO_CAN;40
40852344;0.423;0;0.423;LKO_CAN;40
40853333;1.0;0;1.0;LKO_CAN;40
40854327;0.629;0;0.629;LKO_CAN;40
40854367;1.0;0;1.0;LKO_CAN;40
40855379;0.752;0;0.752;LKO_CAN;40
40856378;0.549;0;0.549;LKO_CAN;40
40858388;0.354;0;0.354;LKO_CAN;40
40859389;1.0;0;1.0;LKO_CAN;40
40860390;0.695;0;0.695;LKO_CAN;40
40861390;0.952;0;0.952;LKO_CAN;40
40863461;0.453;0;0.453;LKO_CAN;40
40864394;0.602;0;0.602;LKO_CAN;40
40870298;0.634;0;0.634;LKO_CAN;40
40872297;0.475;0;0.475;LKO_CAN;40
40874296;0.96;0;0.96;LKO_CAN;40
40875502;0.681;0;0.681;LKO_CAN;40
40878296;0.938;0;0.938;LKO_CAN;40
40880296;1.0;0;1.0;LKO_CAN;40
40881465;0.333;0;0.333;LKO_CAN;40
40883295;0.36;0;0.36;LKO_CAN;40
40885428;0.312;0;0.312;LKO_CAN;40
40885464;1.0;0;1.0;LKO_CAN;40
40891419;0.223;0;0.223;LKO_CAN;40
40892418;0.133;0;0.133;LKO_CAN;40
40893422;0.333;0;0.333;LKO_CAN;40
40894457;0.142;0;0.142;LKO_CAN;40
40894458;0.333;0;0.333;LKO_CAN;40
40895445;0.333;0;0.333;LKO_CAN;40
40895457;0.28;0;0.28;LKO_CAN;40
40895458;0.311;0;0.311;LKO_CAN;40
40896445;0.271;0;0.271;LKO_CAN;40
40896447;0.333;0;0.333;LKO_CAN;40
40896456;0.313;0;0.313;LKO_CAN;40
40896457;0.312;0;0.312;LKO_CAN;40
40897446;0.333;0;0.333;LKO_CAN;40
40897455;0.333;0;0.333;LKO_CAN;40
40897456;0.159;0;0.159;LKO_CAN;40
40897457;0.321;0;0.321;LKO_CAN;40
40898445;0.223;0;0.223;LKO_CAN;40
40898454;0.333;0;0.333;LKO_CAN;40
40898455;0.324;0;0.324;LKO_CAN;40
40899445;0.251;0;0.251;LKO_CAN;40
40899453;0.333;0;0.333;LKO_CAN;40
40899454;0.333;0;0.333;LKO_CAN;40
40899455;0.276;0;0.276;LKO_CAN;40
40900422;0.251;0;0.251;LKO_CAN;40
40900444;0.292;0;0.292;LKO_CAN;40
40900453;0.29;0;0.29;LKO_CAN;40
40901422;0.281;0;0.281;LKO_CAN;40
40901444;0.333;0;0.333;LKO_CAN;40
40901453;0.289;0;0.289;LKO_CAN;40
40901460;1.0;0;1.0;LKO_CAN;40
40902441;0.333;0;0.333;LKO_CAN;40
40902453;0.309;0;0.309;LKO_CAN;40
40902459;0.129;0;0.129;LKO_CAN;40
40902460;0.333;0;0.333;LKO_CAN;40
40902473;0.333;0;0.333;LKO_CAN;40
40903443;0.21;0;0.21;LKO_CAN;40
40903453;0.277;0;0.277;LKO_CAN;40
40903454;0.333;0;0.333;LKO_CAN;40
40904453;0.251;0;0.251;LKO_CAN;40
40904454;0.333;0;0.333;LKO_CAN;40
40904461;0.291;0;0.291;LKO_CAN;40
40905440;0.134;0;0.134;LKO_CAN;40
40905453;0.171;0;0.171;LKO_CAN;40
40905454;0.176;0;0.176;LKO_CAN;40
40905455;0.268;0;0.268;LKO_CAN;40
40905461;0.242;0;0.242;LKO_CAN;40
40906440;0.333;0;0.333;LKO_CAN;40
40906458;0.182;0;0.182;LKO_CAN;40
40906459;0.144;0;0.144;LKO_CAN;40
40907454;0.272;0;0.272;LKO_CAN;40
40907459;0.18;0;0.18;LKO_CAN;40
40908459;0.186;0;0.186;LKO_CAN;40
40910442;0.333;0;0.333;LKO_CAN;40
40911446;0.333;0;0.333;LKO_CAN;40
40911453;0.545;0;0.545;LKO_CAN;40
40912443;0.285;0;0.285;LKO_CAN;40
40912445;0.38;0;0.38;LKO_CAN;40
40913445;0.119;0;0.119;LKO_CAN;40
40913446;1.0;0;1.0;LKO_CAN;40
40913452;0.301;0;0.301;LKO_CAN;40
40914442;0.333;0;0.333;LKO_CAN;40
40914444;1.0;0;1.0;LKO_CAN;40
40914445;1.0;0;1.0;LKO_CAN;40
40914449;1.0;0;1.0;LKO_CAN;40
40914450;0.881;0;0.881;LKO_CAN;40
40914451;0.333;0;0.333;LKO_CAN;40
40914472;0.333;0;0.333;LKO_CAN;40
40915440;1.0;0;1.0;LKO_CAN;40
40915441;0.333;0;0.333;LKO_CAN;40
40915442;1.0;0;1.0;LKO_CAN;40
40915443;1.0;0;1.0;LKO_CAN;40
40915444;0.932;0;0.932;LKO_CAN;40
40915447;0.935;0;0.935;LKO_CAN;40
40915448;1.0;0;1.0;LKO_CAN;40
40915449;0.961;0;0.961;LKO_CAN;40
40916440;0.468;0;0.468;LKO_CAN;40
40916441;0.23;0;0.23;LKO_CAN;40
40916442;0.333;0;0.333;LKO_CAN;40
40916443;0.967;0;0.967;LKO_CAN;40
40916444;0.333;0;0.333;LKO_CAN;40
40916446;0.333;0;0.333;LKO_CAN;40
40916447;0.185;0;0.185;LKO_CAN;40
40916448;0.265;0;0.265;LKO_CAN;40
40916449;0.704;0;0.704;LKO_CAN;40
40917440;0.159;0;0.159;LKO_CAN;40
40917442;0.586;0;0.586;LKO_CAN;40
40917443;0.974;0;0.974;LKO_CAN;40
40917444;1.0;0;1.0;LKO_CAN;40
40917445;1.0;0;1.0;LKO_CAN;40
40917446;0.595;0;0.595;LKO_CAN;40
40917447;0.333;0;0.333;LKO_CAN;40
40917448;1.0;0;1.0;LKO_CAN;40
40918440;0.813;0;0.813;LKO_CAN;40
40918444;0.69;0;0.69;LKO_CAN;40
40918445;0.118;0;0.118;LKO_CAN;40
40918446;0.756;0;0.756;LKO_CAN;40
40918447;0.974;0;0.974;LKO_CAN;40
40918448;1.0;0;1.0;LKO_CAN;40
40918459;0.124;0;0.124;LKO_CAN;40
40919440;0.703;0;0.703;LKO_CAN;40
40919442;0.494;0;0.494;LKO_CAN;40
40919444;0.494;0;0.494;LKO_CAN;40
40919445;0.681;0;0.681;LKO_CAN;40
40919446;1.0;0;1.0;LKO_CAN;40
40919447;1.0;0;1.0;LKO_CAN;40
40919448;0.333;0;0.333;LKO_CAN;40
40920445;0.222;0;0.222;LKO_CAN;40
40920446;0.896;0;0.896;LKO_CAN;40
40920447;0.257;0;0.257;LKO_CAN;40
40920448;0.333;0;0.333;LKO_CAN;40
40920461;0.333;0;0.333;LKO_CAN;40
40921445;0.404;0;0.404;LKO_CAN;40
40921446;0.874;0;0.874;LKO_CAN;40
40921447;0.221;0;0.221;LKO_CAN;40
40921460;0.333;0;0.333;LKO_CAN;40
40921461;0.139;0;0.139;LKO_CAN;40
40921462;1.0;0;1.0;LKO_CAN;40
40922447;0.251;0;0.251;LKO_CAN;40
40922461;0.976;0;0.976;LKO_CAN;40
40922462;0.644;0;0.644;LKO_CAN;40
40923461;0.311;0;0.311;LKO_CAN;40
40923462;0.745;0;0.745;LKO_CAN;40
40923463;0.333;0;0.333;LKO_CAN;40
40924461;0.218;0;0.218;LKO_CAN;40
40925462;0.786;0;0.786;LKO_CAN;40
40925463;1.0;0;1.0;LKO_CAN;40
40926457;0.245;0;0.245;LKO_CAN;40
40926462;0.702;0;0.702;LKO_CAN;40
40927456;0.124;0;0.124;LKO_CAN;40
40927457;0.428;0;0.428;LKO_CAN;40
40927458;0.333;0;0.333;LKO_CAN;40
40928458;0.403;0;0.403;LKO_CAN;40
40931457;0.124;0;0.124;LKO_CAN;40
40931471;0.869;0;0.869;LKO_CAN;40
40956501;0.993;0;0.993;LKO_CAN;40
40957502;0.716;0;0.716;LKO_CAN;40
40969508;1.0;0;1.0;LKO_CAN;40
40970509;0.548;0;0.548;LKO_CAN;40
