YEAR;VAR1;VAR2;VAR3
1926;0.7153831168831168;0.9653679653679653;0.013365440115440115
1927;0.32494763579523256;0.6354044548651817;0.10268347010550996
1928;0.7350797448165869;0.4376395534290271;0.3475055821371611
1929;0.7430802538260545;0.0;0.7430802538260545
1930;0.7039602465331279;0.8936825885978429;0.038658551617873654
1931;0.48157772621809747;0.4481272787537289;0.20831985415976134
1932;0.7376321104005386;0.9353752945136318;0.026615954224166946
1933;0.7588233514821536;0.9860859044162129;0.00438173018753781
1934;0.7523804471390678;0.9856006062902615;0.0036286472148541115
1935;0.36457185234014505;0.0;0.36457185234014505
1936;0.7697386430678467;0.968141592920354;0.00939882005899705
1937;0.6467438068359987;0.0;0.6467438068359987
1938;0.5555860317460317;0.5958730158730159;0.1502561904761905
1939;0.7436578680203046;0.9949238578680203;0.0010223350253807106
1940;0.7092842351369406;0.11155644622578491;0.6298623914495658
1941;0.45060875244937953;0.7942521227955585;0.05393043762246897
1942;0.7476223474801061;0.9688328912466844;0.012017572944297082
1943;0.7193146613318091;0.09402686481851957;0.6503155187196342
1944;0.7036251892219195;0.10626702997275204;0.6463639115955192
1945;0.7311438957891547;0.5743714026052711;0.2407982429566798
1946;0.6187319619281547;0.6257291986490635;0.11847252072459319
1947;0.7370655917918651;0.0;0.7370655917918651
1948;0.7276675110829639;0.9230525649145028;0.03057124762507916
1949;0.5760761189153871;0.5220516171185887;0.20862855276053577
1950;0.7118596764156814;0.873366521468575;0.04896235220908526
1951;0.750675960346964;0.9876084262701363;0.002986988847583643
1952;0.7661050289274589;0.9884290164663997;0.0030663106364040944
1953;0.6475620459168846;0.08340598663179308;0.5998326068003487
1954;0.7468855160450998;0.8473547267996531;0.06158196010407633
1955;0.759236276849642;0.9832935560859188;0.005139220365950676
1956;0.6863827426810477;0.0687211093990755;0.6478320493066256
1957;0.3217099567099567;0.62000962000962;0.10653246753246753
1958;0.7216703331238215;0.071024512884978;0.6846008799497172
1959;0.7464049103663289;0.9575214341387374;0.020856975837879967
1960;0.7444361054766734;0.9790398918187965;0.0063576741041244085
1961;0.4547161769454311;0.0;0.4547161769454311
1962;0.7120174025136964;0.6761198839832421;0.14777699000966807
1963;0.7130391409767924;0.32490474541046066;0.4443706269483893
1964;0.4313600925008259;0.20185001651800463;0.34165213082259666
1965;0.2841081838565022;0.0;0.2841081838565022
1966;0.7084710770214127;0.40779801853627357;0.3562176414189837
1967;0.6736200458565346;0.0;0.6736200458565346
1968;0.7494406340989972;0.897767712714332;0.04655418958265933
1969;0.7622640677966102;0.07288135593220339;0.6949722033898306
1970;0.7401234567901235;0.6967592592592593;0.13913850308641976
1971;0.719075976845152;0.9746743849493488;0.007888567293777135
1972;0.6936769832799715;0.25791533262184274;0.4961430096051227
1973;0.7238176895306859;0.8249097472924187;0.11318998194945849
1974;0.6839921455146755;0.0;0.6839921455146755
1975;0.6576223866194918;0.8633000964940495;0.047075908652299776
1976;0.7028701134930643;0.8726355611601513;0.048330390920554855
1977;0.7279004187994417;0.7664029781293625;0.13443089809213588
1978;0.7730786749482401;0.9901656314699793;0.0030631469979296067
1979;0.6932391057218644;0.3050397877984085;0.44633876468359224
1980;0.3040780445969125;0.0;0.3040780445969125
1981;0.539369140625;0.034830729166666664;0.5254254557291667
1982;0.7524238410596027;0.9526963103122044;0.014929517502365184
1983;0.602159858475394;0.0;0.602159858475394
1984;0.5921407569596497;0.0;0.5921407569596497
1985;0.48416514954486345;0.6209362808842653;0.11432607282184656
1986;0.7630567505720823;0.988558352402746;0.00297162471395881
1987;0.528951449983708;0.10785272075594657;0.4568543499511242
1988;0.48354651550516836;0.0;0.48354651550516836
1989;0.6948064718818724;0.2519635563933396;0.4838127552623312
1990;0.7301158983196897;0.9004739336492891;0.04027919000430849
1991;0.637310333963453;0.0;0.637310333963453
1992;0.602381937911571;0.3345876450297899;0.32816368767638754
1993;0.7528663865546218;0.3281512605042017;0.4753894957983193
1994;0.7629077922077921;0.990909090909091;0.001868831168831169
1995;0.36723543046357615;0.6572847682119205;0.09057682119205299
1996;0.5337946841294299;0.0;0.5337946841294299
1997;0.7291939151813153;0.32329440688383526;0.453520590043024
1998;0.7346132958801498;0.99812734082397;0.00022565543071161048
1999;0.4875070378479825;0.7966843916171411;0.05813324992180169
2000;0.684387244430882;0.08635947512969179;0.6363371986573085
2001;0.739794093519278;0.9155045118949959;0.036759228876127974
2002;0.5210918065153011;0.0;0.5210918065153011
2003;0.5767467553023109;0.0;0.5767467553023109
2004;0.6884827479975354;0.8863216266173752;0.03828065311152187
2005;0.709555105853051;0.5429638854296388;0.24238542963885432
2006;0.4116951854261548;0.07449577098243332;0.38019876382563433
2007;0.7340193026151931;0.20049813200498132;0.5823110211706102
2008;0.747837786259542;0.9809160305343512;0.0061488549618320615
2009;0.6880523882896764;0.8810477657935285;0.0394939907550077
2010;0.37012266928361137;0.0;0.37012266928361137
2011;0.7367454698693637;0.0;0.7367454698693637
2012;0.4265911262798635;0.7853242320819113;0.06161126279863482
2013;0.5202885997945909;0.3724751797329682;0.2866713454296474
2014;0.7612844364937388;0.13202146690518785;0.6665384615384615
2015;0.521803025210084;0.011428571428571429;0.5183640336134454
2016;0.6636230171073094;0.8799377916018662;0.04183172628304821
