YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;114.879;0.7411548387096775;155.0;1.0;0.0;0.0
1927;62.96000000000001;0.34404371584699456;113.0;0.6174863387978142;19.318;0.10556284153005466
1928;143.864;0.7693262032085562;56.0;0.2994652406417112;96.328;0.5151229946524064
1929;129.292;0.7980987654320988;0.0;0.0;129.292;0.7980987654320988
1930;149.795;0.7133095238095237;194.0;0.9238095238095239;5.737;0.027319047619047618
1931;113.248;0.4945327510917031;96.0;0.4192139737991266;53.746;0.2346986899563319
1932;134.17499999999998;0.7580508474576271;177.0;1.0;0.0;0.0
1933;73.42699999999999;0.7648645833333333;96.0;1.0;0.0;0.0
1934;131.18900000000002;0.8148385093167703;161.0;1.0;0.0;0.0
1935;78.51;0.37033018867924533;0.0;0.0;78.51;0.37033018867924533
1936;92.238;0.775109243697479;119.0;1.0;0.0;0.0
1937;148.54900000000004;0.6138388429752067;0.0;0.0;148.54900000000004;0.6138388429752067
1938;133.646;0.5522561983471074;131.0;0.5413223140495868;42.351;0.17500413223140496
1939;58.958;0.8076438356164384;73.0;1.0;0.0;0.0
1940;132.133;0.7465141242937854;18.0;0.1016949152542373;120.373;0.6800734463276836
1941;107.935;0.4973963133640553;165.0;0.7603686635944701;16.111;0.0742442396313364
1942;134.42000000000002;0.7769942196531793;173.0;1.0;0.0;0.0
1943;177.50799999999998;0.7396166666666666;0.0;0.0;177.50799999999998;0.7396166666666666
1944;163.969;0.7098225108225108;4.0;0.017316017316017316;162.21800000000002;0.7022424242424243
1945;152.88100000000003;0.7012889908256882;116.0;0.5321100917431193;49.674;0.22786238532110092
1946;141.04399999999998;0.5976440677966101;149.0;0.6313559322033898;32.207;0.13647033898305086
1947;131.89799999999997;0.8042560975609754;0.0;0.0;131.89799999999997;0.8042560975609754
1948;145.95800000000003;0.7371616161616164;198.0;1.0;0.0;0.0
1949;133.825;0.5843886462882095;105.0;0.4585152838427948;55.57599999999999;0.2426899563318777
1950;161.031;0.7420783410138249;189.0;0.8709677419354839;12.388000000000002;0.057087557603686646
1951;107.82300000000001;0.7870291970802921;137.0;1.0;0.0;0.0
1952;133.782;0.830944099378882;161.0;1.0;0.0;0.0
1953;153.76;0.6460504201680672;31.0;0.13025210084033614;136.155;0.5720798319327731
1954;139.20600000000002;0.8385903614457833;154.0;0.927710843373494;5.197;0.03130722891566265
1955;148.953;0.8321396648044693;179.0;1.0;0.0;0.0
1956;143.912;0.651185520361991;12.0;0.05429864253393665;138.257;0.6255972850678734
1957;48.45400000000001;0.29014371257485033;87.0;0.5209580838323353;20.271;0.12138323353293413
1958;176.472;0.7322489626556017;0.0;0.0;176.472;0.7322489626556017
1959;137.039;0.7967383720930232;172.0;1.0;0.0;0.0
1960;86.221;0.7698303571428572;112.0;1.0;0.0;0.0
1961;85.41;0.365;0.0;0.0;85.41;0.365
1962;133.102;0.7394555555555555;116.0;0.6444444444444445;32.045;0.17802777777777778
1963;131.21300000000002;0.7330335195530727;40.0;0.22346368715083798;97.352;0.5438659217877095
1964;101.275;0.4777122641509434;47.0;0.22169811320754718;76.201;0.359438679245283
1965;54.137;0.31475000000000003;0.0;0.0;54.137;0.31475000000000003
1966;166.39;0.6991176470588235;91.0;0.38235294117647056;90.858;0.3817563025210084
1967;149.247;0.6692690582959642;0.0;0.0;149.247;0.6692690582959642
1968;145.96;0.8108888888888889;174.0;0.9666666666666667;2.214;0.0123
1969;133.017;0.7824529411764706;0.0;0.0;133.017;0.7824529411764706
1970;122.338;0.8210604026845637;114.0;0.7651006711409396;18.179000000000002;0.122006711409396
1971;105.90299999999999;0.7730145985401459;137.0;1.0;0.0;0.0
1972;121.839;0.7567639751552795;65.0;0.40372670807453415;65.336;0.40581366459627327
1973;129.997;0.8175911949685536;159.0;1.0;0.0;0.0
1974;134.213;0.8134121212121211;0.0;0.0;134.213;0.8134121212121211
1975;119.061;0.6013181818181819;198.0;1.0;0.0;0.0
1976;5.952999999999999;0.49608333333333327;12.0;1.0;0.0;0.0
1977;122.462;0.827445945945946;148.0;1.0;0.0;0.0
1978;79.69900000000001;0.7737766990291264;103.0;1.0;0.0;0.0
1979;121.763;0.7958366013071896;63.0;0.4117647058823529;66.814;0.4366928104575163
1980;54.297;0.29670491803278687;0.0;0.0;54.297;0.29670491803278687
1981;122.029;0.5623456221198156;0.0;0.0;122.029;0.5623456221198156
1982;125.19800000000001;0.8346533333333334;150.0;1.0;0.0;0.0
1983;141.22699999999998;0.616711790393013;0.0;0.0;141.22699999999998;0.616711790393013
1984;138.144;0.5615609756097562;0.0;0.0;138.144;0.5615609756097562
1985;101.29100000000001;0.43286752136752144;127.0;0.5427350427350427;31.932;0.13646153846153847
1986;130.75;0.8275316455696202;158.0;1.0;0.0;0.0
1987;119.066;0.5339282511210762;0.0;0.0;119.066;0.5339282511210762
1988;99.533;0.497665;0.0;0.0;99.533;0.497665
1989;157.75400000000002;0.713819004524887;51.0;0.23076923076923078;117.807;0.5330633484162896
1990;138.68200000000002;0.8157764705882354;170.0;1.0;0.0;0.0
1991;150.80399999999997;0.6309790794979079;0.0;0.0;150.80399999999997;0.6309790794979079
1992;140.256;0.5819751037344398;73.0;0.3029045643153527;86.388;0.35845643153526974
1993;139.016;0.8425212121212121;67.0;0.40606060606060607;77.322;0.4686181818181818
1994;42.25599999999999;0.7682909090909089;55.0;1.0;0.0;0.0
1995;85.978;0.42989;134.0;0.67;18.247;0.091235
