PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40825520;0.333;0;0.333;0.333;0.0;0.333
40827518;1.0;1;0.0;1.0;1.0;0.0
40829518;0.333;0;0.333;0.333;0.0;0.333
40832514;0.333;0;0.333;0.333;0.0;0.333
40833514;0.254;0;0.254;0.254;0.0;0.254
40834511;0.186;0;0.186;0.186;0.0;0.186
40837506;0.287;2;0.0;0.1435;1.0;0.0
40837507;3.603;0;3.603;0.30025;0.0;0.30025
40837508;0.333;0;0.333;0.333;0.0;0.333
40837527;0.268;0;0.268;0.268;0.0;0.268
40837528;0.333;0;0.333;0.333;0.0;0.333
40838527;0.333;0;0.333;0.333;0.0;0.333
40839526;0.333;0;0.333;0.333;0.0;0.333
40840500;17.732;18;11.139000000000001;0.32837037037037037;0.3333333333333333;0.2062777777777778
40843494;0.31;0;0.31;0.31;0.0;0.31
40844493;30.261;15;17.099;0.8900294117647058;0.4411764705882353;0.5029117647058824
40845492;21.277;4;17.944;0.6447575757575758;0.12121212121212122;0.5437575757575758
40845535;0.333;0;0.333;0.333;0.0;0.333
40846518;1.255;5;0.378;0.17928571428571427;0.7142857142857143;0.054
40847518;5.0;1;4.0;1.0;0.2;0.8
40847534;18.983;7;12.42;0.94915;0.35;0.621
40848490;0.333;0;0.333;0.333;0.0;0.333
40848533;1.0;1;0.0;1.0;1.0;0.0
40849515;0.333;0;0.333;0.333;0.0;0.333
40850531;2.0;2;0.0;1.0;1.0;0.0
40851358;21.602;11;13.094999999999999;0.800074074074074;0.4074074074074074;0.48499999999999993
40852336;3.904;5;0.0;0.7807999999999999;1.0;0.0
40852337;20.069;17;6.28;0.7718846153846154;0.6538461538461539;0.24153846153846154
40852338;18.839;5;14.777;0.7849583333333333;0.20833333333333334;0.6157083333333333
40852339;8.415;4;7.384;0.5259375;0.25;0.4615
40852340;13.004;5;10.25;0.6192380952380953;0.23809523809523808;0.4880952380952381
40852341;8.194;11;0.0;0.744909090909091;1.0;0.0
40852342;17.862;16;3.995;0.8930999999999999;0.8;0.19975
40852343;21.464;11;13.413;0.7949629629629629;0.4074074074074074;0.49677777777777776
40852344;21.527;17;8.124;0.8279615384615385;0.6538461538461539;0.31246153846153846
40852345;13.268;8;8.86;0.5103076923076924;0.3076923076923077;0.34076923076923077
40852346;20.727;11;11.334;0.7971923076923078;0.4230769230769231;0.4359230769230769
40852347;22.672;13;12.253;0.8097142857142857;0.4642857142857143;0.43760714285714286
40852348;22.366;12;13.375;0.7712413793103449;0.41379310344827586;0.46120689655172414
40852528;0.204;0;0.204;0.204;0.0;0.204
40853333;15.625;14;3.45;0.8680555555555556;0.7777777777777778;0.19166666666666668
40853334;3.1550000000000002;1;2.822;0.35055555555555556;0.1111111111111111;0.3135555555555556
40853335;4.4830000000000005;2;3.843;0.3448461538461539;0.15384615384615385;0.2956153846153846
40853336;3.2030000000000003;1;2.87;0.3558888888888889;0.1111111111111111;0.3188888888888889
40853337;0.333;0;0.333;0.333;0.0;0.333
40853338;4.414;2;3.7640000000000002;0.3395384615384615;0.15384615384615385;0.2895384615384616
40853339;0.575;0;0.575;0.19166666666666665;0.0;0.19166666666666665
40853356;17.452;8;11.908;0.6463703703703705;0.2962962962962963;0.441037037037037
40853359;7.5809999999999995;4;6.59;0.47381249999999997;0.25;0.411875
40853360;4.285;2;3.6430000000000002;0.32961538461538464;0.15384615384615385;0.2802307692307692
40853361;1.276;0;1.276;0.319;0.0;0.319
40853362;22.637999999999998;13;12.244;0.8084999999999999;0.4642857142857143;0.4372857142857143
40854327;18.645;13;7.801;0.8475;0.5909090909090909;0.3545909090909091
40854328;19.339;13;8.479;0.7735599999999999;0.52;0.33915999999999996
40854329;21.063;11;11.612;0.8425199999999999;0.44;0.46448
40854330;12.93;6;9.327;0.5621739130434783;0.2608695652173913;0.40552173913043477
40854331;10.44;5;8.295;0.4971428571428571;0.23809523809523808;0.395
40854332;2.361;1;2.028;0.295125;0.125;0.2535
40854333;2.227;1;1.8940000000000001;0.278375;0.125;0.23675000000000002
40854334;0.333;0;0.333;0.333;0.0;0.333
40854335;0.14;0;0.14;0.14;0.0;0.14
40854336;0.333;0;0.333;0.333;0.0;0.333
40854337;0.333;0;0.333;0.333;0.0;0.333
40854338;0.449;0;0.449;0.2245;0.0;0.2245
40854364;22.708000000000002;13;12.445;0.811;0.4642857142857143;0.4444642857142857
40854365;19.889;15;8.591;0.7366296296296296;0.5555555555555556;0.3181851851851852
40854367;13.468;14;2.467;0.792235294117647;0.8235294117647058;0.14511764705882355
40854368;20.417;15;9.023;0.7561851851851853;0.5555555555555556;0.3341851851851852
40854369;20.703;15;9.207;0.7667777777777778;0.5555555555555556;0.341
40854370;18.512;14;7.234999999999999;0.8048695652173913;0.6086956521739131;0.31456521739130433
40854371;19.398;13;8.45;0.7759199999999999;0.52;0.33799999999999997
40854372;3.513;2;2.899;0.3513;0.2;0.2899
40854373;10.578;10;6.828;0.3777857142857143;0.35714285714285715;0.24385714285714286
40854374;3.644;2;2.978;0.24293333333333333;0.13333333333333333;0.19853333333333334
40854375;8.231;6;6.625;0.3165769230769231;0.23076923076923078;0.2548076923076923
40854376;9.43;9;5.994;0.3626923076923077;0.34615384615384615;0.23053846153846153
40854377;14.257;9;10.241;0.5091785714285714;0.32142857142857145;0.36574999999999996
40855325;3.1470000000000002;1;2.814;0.3496666666666667;0.1111111111111111;0.31266666666666665
40855326;1.275;1;0.942;0.2125;0.16666666666666666;0.157
40855327;0.325;0;0.325;0.1625;0.0;0.1625
40855328;21.285;10;13.55;0.8186538461538462;0.38461538461538464;0.5211538461538462
40855329;0.333;0;0.333;0.333;0.0;0.333
40855330;1.79;1;1.457;0.1988888888888889;0.1111111111111111;0.1618888888888889
40855331;6.572;4;5.535;0.34589473684210525;0.21052631578947367;0.2913157894736842
40855332;0.293;0;0.293;0.293;0.0;0.293
40855333;0.169;0;0.169;0.169;0.0;0.169
40855334;0.266;0;0.266;0.266;0.0;0.266
40855335;0.113;0;0.113;0.113;0.0;0.113
40855364;6.257000000000001;5;4.757000000000001;0.29795238095238097;0.23809523809523808;0.22652380952380954
40855367;0.212;0;0.212;0.212;0.0;0.212
40855368;22.242;12;13.329;0.7669655172413793;0.41379310344827586;0.45962068965517244
40855369;4.82;3;3.993;0.30125;0.1875;0.2495625
40855370;0.293;0;0.293;0.1465;0.0;0.1465
40855371;9.342;9;6.6610000000000005;0.3336428571428572;0.32142857142857145;0.23789285714285716
40855372;0.333;0;0.333;0.333;0.0;0.333
40855373;0.8480000000000001;0;0.8480000000000001;0.21200000000000002;0.0;0.21200000000000002
40855374;0.401;0;0.401;0.2005;0.0;0.2005
40855375;2.008;1;1.675;0.22311111111111112;0.1111111111111111;0.18611111111111112
40855376;2.231;2;1.617;0.2231;0.2;0.1617
40855377;0.256;0;0.256;0.256;0.0;0.256
40855378;0.752;1;0.0;0.752;1.0;0.0
40855379;18.065;14;5.1899999999999995;0.9032500000000001;0.7;0.25949999999999995
40855380;0.124;0;0.124;0.124;0.0;0.124
40855524;10.046;3;8.297;0.7175714285714285;0.21428571428571427;0.5926428571428571
40856323;19.379;16;5.969;0.8074583333333334;0.6666666666666666;0.24870833333333334
40856324;13.626;6;10.965;0.5240769230769231;0.23076923076923078;0.42173076923076924
40856325;0.308;0;0.308;0.308;0.0;0.308
40856326;0.333;0;0.333;0.333;0.0;0.333
40856327;0.333;0;0.333;0.333;0.0;0.333
40856328;1.251;1;0.9199999999999999;0.2085;0.16666666666666666;0.15333333333333332
40856329;0.322;0;0.322;0.322;0.0;0.322
40856330;0.385;0;0.385;0.1925;0.0;0.1925
40856331;0.449;0;0.449;0.2245;0.0;0.2245
40856332;0.174;0;0.174;0.174;0.0;0.174
40856365;3.924;2;3.283;0.2802857142857143;0.14285714285714285;0.2345
40856366;0.5509999999999999;0;0.5509999999999999;0.18366666666666664;0.0;0.18366666666666664
40856367;0.373;0;0.373;0.1865;0.0;0.1865
40856368;0.448;0;0.448;0.224;0.0;0.224
40856369;1.044;1;0.731;0.2088;0.2;0.1462
40856370;0.333;0;0.333;0.333;0.0;0.333
40856371;0.333;0;0.333;0.333;0.0;0.333
40856375;0.317;0;0.317;0.317;0.0;0.317
40856376;0.225;0;0.225;0.225;0.0;0.225
40856377;0.283;0;0.283;0.283;0.0;0.283
40856378;20.072;14;8.683;0.8363333333333333;0.5833333333333334;0.3617916666666667
40856382;20.67;11;11.85;0.7655555555555557;0.4074074074074074;0.4388888888888889
40856385;19.009;11;11.62;0.7311153846153846;0.4230769230769231;0.44692307692307687
40856523;23.657;3;20.741;0.8761851851851852;0.1111111111111111;0.7681851851851852
40857318;19.692;15;8.2;0.7293333333333334;0.5555555555555556;0.3037037037037037
40857319;11.639;5;8.884;0.5290454545454545;0.22727272727272727;0.40381818181818185
40857320;19.554;14;8.724;0.752076923076923;0.5384615384615384;0.33553846153846156
40857322;10.783;9;6.684;0.41473076923076924;0.34615384615384615;0.2570769230769231
40857323;7.021;5;2.36;0.877625;0.625;0.295
40857324;18.354;10;10.8;0.6555;0.35714285714285715;0.38571428571428573
40857325;0.127;0;0.127;0.127;0.0;0.127
40857382;22.106;13;12.499;0.7895000000000001;0.4642857142857143;0.44639285714285715
40857384;6.648;8;4.266;0.25569230769230766;0.3076923076923077;0.16407692307692306
40857385;8.474;9;5.706;0.3259230769230769;0.34615384615384615;0.21946153846153849
40857386;4.164;4;3.207;0.24494117647058822;0.23529411764705882;0.1886470588235294
40857522;39.815;5;36.393;0.8655434782608695;0.10869565217391304;0.7911521739130435
40858315;21.221;11;11.792;0.785962962962963;0.4074074074074074;0.4367407407407407
40858316;14.687;6;11.913;0.58748;0.24;0.47652
40858317;8.19;4;7.196;0.511875;0.25;0.44975
40858318;6.486;4;5.497;0.405375;0.25;0.3435625
40858319;4.515000000000001;3;3.71;0.28218750000000004;0.1875;0.231875
40858320;0.169;0;0.169;0.169;0.0;0.169
40858321;14.1;6;11.371;0.5875;0.25;0.47379166666666667
