PT_ID;VAR1;VAR2;VAR3
43003514;0.726;0;0.726
43016380;1.0;1;0.0
43018379;1.0;1;0.0
43020378;0.737;1;0.0
43021380;1.0;1;0.0
43022376;1.0;1;0.0
43022380;0.111;0;0.111
43024364;0.804;1;0.0
43024381;0.138;0;0.138
43025369;1.0;1;0.0
43025370;1.0;1;0.0
43025377;0.497;0;0.497
43025380;1.0;1;0.0
43026381;0.216;0;0.216
43028381;0.94;1;0.0
43028384;1.0;1;0.0
43029381;1.0;1;0.0
43029387;1.0;1;0.0
43030384;0.2;0;0.2
43032393;0.135;0;0.135
43033392;1.0;1;0.0
43035396;0.112;0;0.112
43036394;0.936;1;0.0
43037395;0.254;1;0.0
43038395;1.0;1;0.0
43038396;0.627;1;0.0
43039398;0.162;0;0.162
43040503;0.432;1;0.0
43042402;0.703;1;0.0
43042502;0.116;0;0.116
43043404;0.26;1;0.0
43048411;0.124;0;0.124
43048501;1.0;1;0.0
43060417;1.0;1;0.0
43061437;0.242;0;0.242
43062436;0.849;1;0.0
43062453;1.0;1;0.0
43063449;0.117;0;0.117
43063452;0.728;0;0.728
43063453;0.189;0;0.189
43063454;1.0;1;0.0
43063455;1.0;1;0.0
43064452;0.166;0;0.166
43064453;0.204;0;0.204
43064454;0.172;0;0.172
43069489;0.826;1;0.0
43083481;0.671;0;0.671
43176456;0.42;1;0.0
43214503;0.985;1;0.0
43223506;0.964;1;0.0
43224473;1.0;1;0.0
43225473;0.41;0;0.41
43228509;1.0;1;0.0
43235477;0.885;1;0.0
43237478;0.809;1;0.0
43243516;0.773;1;0.0
43246516;0.159;0;0.159
43249443;0.52;1;0.0
43249444;1.0;1;0.0
43250431;0.365;1;0.0
43250445;1.0;1;0.0
43250447;0.613;1;0.0
43251446;1.0;1;0.0
43251447;1.0;1;0.0
43252430;1.0;1;0.0
43252437;1.0;1;0.0
43252438;0.543;1;0.0
43252439;1.0;1;0.0
43252447;0.231;0;0.231
43252518;0.392;1;0.0
43253435;1.0;1;0.0
43253451;0.216;0;0.216
43254450;0.226;0;0.226
43254454;0.125;0;0.125
43255432;1.0;1;0.0
43255433;1.0;1;0.0
43255449;0.898;1;0.0
43255454;0.269;1;0.0
43257446;0.984;1;0.0
43257448;1.0;1;0.0
43257455;0.142;0;0.142
43258447;0.241;0;0.241
43265489;0.192;0;0.192
43266489;1.0;1;0.0
43268490;0.925;1;0.0
43273493;0.209;0;0.209
43301504;1.0;1;0.0
43320532;1.0;1;0.0
43327510;0.849;1;0.0
43340537;1.0;1;0.0
43343537;1.0;1;0.0
43349512;0.942;1;0.0
43349538;1.0;1;0.0
43351512;1.0;1;0.0
43353512;0.131;0;0.131
43361538;0.399;0;0.399
43469548;0.495;0;0.495
43472549;1.0;1;0.0
43483553;0.397;1;0.0
43487573;0.109;0;0.109
43488573;0.814;1;0.0
43490594;0.683;1;0.0
43492557;0.75;0;0.75
43492558;0.297;1;0.0
43492564;0.848;1;0.0
43492583;0.125;1;0.0
43493565;0.571;0;0.571
43493584;0.728;0;0.728
43493588;0.776;1;0.0
43496557;0.798;1;0.0
43498557;0.333;1;0.0
43518513;1.0;1;0.0
43519513;1.0;1;0.0
43523529;1.0;1;0.0
43526529;0.854;1;0.0
43527529;1.0;1;0.0
43528529;1.0;1;0.0
43530514;0.333;1;0.0
43531514;0.957;1;0.0
43532514;1.0;1;0.0
43533513;1.0;1;0.0
43533514;0.165;0;0.165
43533562;1.0;1;0.0
43534514;0.234;0;0.234
43534562;0.852;1;0.0
43535514;1.0;1;0.0
43538516;0.247;0;0.247
43538517;1.0;1;0.0
43539563;0.808;1;0.0
43606551;0.228;0;0.228
43610550;0.713;0;0.713
43614522;0.602;0;0.602
43620516;0.194;0;0.194
43620517;0.125;0;0.125
43621516;0.179;0;0.179
43621517;0.114;0;0.114
43622516;0.175;0;0.175
43623516;0.157;0;0.157
43624516;0.855;1;0.0
43624517;0.13;0;0.13
43625516;0.152;0;0.152
43626516;0.333;1;0.0
43629520;1.0;1;0.0
43636546;1.0;1;0.0
43641546;1.0;1;0.0
43643546;1.0;1;0.0
43647546;0.15;0;0.15
43660546;0.292;1;0.0
43661546;0.715;0;0.715
43663546;0.458;0;0.458
43690515;0.877;1;0.0
43691515;0.228;0;0.228
43691548;1.0;1;0.0
43695515;1.0;1;0.0
43701549;0.527;1;0.0
