YEAR;VAR1;VAR2;VAR3
1926;0.7110759663865547;0.9670588235294117;0.013353613445378153
1927;0.3327016308376575;0.5533728687916976;0.12384136397331358
1928;0.7443874841972188;0.4333122629582807;0.35556099873577746
1929;0.7557203258339799;0.09270752521334368;0.6831741660201707
1930;0.695223720502605;0.8850750842782715;0.04140698743487588
1931;0.3837850372376439;0.17095463777928233;0.29518381855111714
1932;0.7348529411764706;0.915876027830487;0.033084756483238456
1933;0.7446214800261952;0.9869024230517355;0.004073346430910282
1934;0.749717966334593;0.971830985915493;0.007564754379938166
1935;0.3656203355015406;0.0;0.3656203355015406
1936;0.7699421579532815;0.9816462736373749;0.004849833147942158
1937;0.6625037593984963;0.0;0.6625037593984963
1938;0.5055669002335669;0.48415081748415084;0.20887053720387055
1939;0.7124390009606147;0.9942363112391931;0.0011450528338136407
1940;0.7093363522798252;0.25827607745159276;0.49594003747657717
1941;0.43609237085186453;0.6356483065343825;0.10152617174136162
1942;0.7473380637023022;0.9605802585935036;0.015018921475875118
1943;0.6959511634587763;0.08905486929043378;0.6300749784544671
1944;0.6791085556577736;0.06501073290401717;0.6410088929776142
1945;0.683014125956445;0.4187757504414361;0.3454823425544438
1946;0.5436063895781638;0.5145781637717122;0.1653877171215881
1947;0.7412988505747127;0.0;0.7412988505747127
1948;0.70364191469776;0.8812519177661859;0.043478981282602025
1949;0.5455202408832385;0.4272331883573101;0.26779591836734695
1950;0.6894704040087691;0.83463827121829;0.06412026307547761
1951;0.7295889298892989;0.988929889298893;0.002718081180811808
1952;0.7564742310889443;0.986284289276808;0.0037348295926849543
1953;0.5962918138987043;0.043580683156654886;0.5762467608951708
1954;0.7439967741935484;0.9847926267281106;0.004490322580645161
1955;0.7541443207126949;0.9857461024498887;0.0037982182628062367
1956;0.6384304552590268;0.0;0.6384304552590268
1957;0.30391971982758625;0.4832974137931034;0.1484396551724138
1958;0.7286391494684178;0.0;0.7286391494684178
1959;0.7478983918128655;0.9502923976608187;0.02233698830409357
1960;0.739360908353609;0.9781021897810219;0.008939172749391728
1961;0.37460935944241625;0.0;0.37460935944241625
1962;0.6912558284115635;0.4084550823748834;0.3477003419334784
1963;0.7091569534381744;0.20104841196423065;0.5657971014492754
1964;0.4196540707660598;0.08141532119546548;0.384612504294057
1965;0.2817880549682875;0.0;0.2817880549682875
1966;0.7146945634266886;0.32520593080724874;0.4391426688632619
1967;0.6527396723646723;0.0;0.6527396723646723
1968;0.7563836003770028;0.8410304743952246;0.07460885956644675
1969;0.7670406559617357;0.10317731465664502;0.6830915613255893
1970;0.7463233293317326;0.9103641456582633;0.03301360544217687
1971;0.7197827067669174;0.9781954887218045;0.007150375939849624
1972;0.6891250450450451;0.6533333333333333;0.14994126126126125
1973;0.7008867075664621;0.9149284253578732;0.031121881390593048
1974;0.711942481884058;0.20652173913043478;0.5342672101449275
1975;0.6551456718346252;0.8582041343669251;0.04545025839793282
1976;0.6695220588235293;0.9544117647058824;0.014648529411764706
1977;0.7179725581395349;0.7511627906976744;0.14124837209302327
1978;0.767467962184874;0.9936974789915967;0.0013130252100840337
1979;0.7012436655405405;0.7398648648648649;0.10710261824324324
1980;0.28895803423522914;0.0;0.28895803423522914
1981;0.5411660092044708;0.02925706771860618;0.5306571334648258
1982;0.7609269856931425;0.9659595461272817;0.0093754316724223
1983;0.6142371692700032;0.0;0.6142371692700032
1984;0.5802317073170732;0.0;0.5802317073170732
1985;0.42775938337801606;0.5439008042895442;0.13983344504021447
1986;0.762427549194991;0.9901610017889088;0.002525044722719141
1987;0.5120178031575412;0.10312395028552233;0.44188780651662746
1988;0.44775932611311675;0.0;0.44775932611311675
1989;0.6509355857278181;0.12030312598673824;0.5668108620145248
1990;0.7232213079255089;0.8891294932871373;0.04990731918579472
1991;0.631498262243286;0.0;0.631498262243286
1992;0.5497093880166614;0.24543415571932073;0.3612489586670939
1993;0.7541061241610738;0.7638422818791947;0.10832424496644295
1994;0.7593939808481531;0.9972640218878249;0.00048563611491108066
1995;0.36125069444444446;0.53125;0.13522534722222224
1996;0.5707659500693482;0.0;0.5707659500693482
1997;0.7300080197409007;0.29549660703269587;0.4783957433682912
1998;0.7489877777777778;1.0;0.0
1999;0.4134531149646756;0.7023121387283237;0.08221836865767503
2000;0.7150879975124378;0.08271144278606965;0.6656853233830846
2001;0.7374257224257225;0.9417989417989417;0.025314204314204315
2002;0.4808880721683929;0.0;0.4808880721683929
2003;0.48657085561497326;0.0;0.48657085561497326
2004;0.6821683168316832;0.8814975247524752;0.03996472772277228
2005;0.6953836419753087;0.41728395061728396;0.34034135802469134
2006;0.4220422215004872;0.07080220850925625;0.39175738876258526
2007;0.7489103252289233;0.5405746763498579;0.30031733501736657
2008;0.7065071656050956;0.9912420382165605;0.0018264331210191083
2009;0.6662283218964441;0.8393636930754834;0.05019713038053649
2010;0.3631293429652563;0.0;0.3631293429652563
2011;0.7476056201550387;0.0;0.7476056201550387
2012;0.40234935241990455;0.6561008861622358;0.09222460804362645
2013;0.5035174439955931;0.26698494307748805;0.3553349247153874
2014;0.7622734826589596;0.3833092485549133;0.43159754335260114
2015;0.4935476753349094;0.002364066193853428;0.4930689519306541
2016;0.6352951844903064;0.8664790494058787;0.04518792995622264
