PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40825520;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40827519;40;LKO_CAN;0.222;0;0.222;0.222;0.0;0.222
40829518;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40831516;40;LKO_CAN;0.115;0;0.115;0.115;0.0;0.115
40832514;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40833513;40;LKO_CAN;0.569;0;0.569;0.569;0.0;0.569
40833514;40;LKO_CAN;0.207;0;0.207;0.207;0.0;0.207
40836510;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40837507;40;LKO_CAN;4.677;0;4.677;0.31179999999999997;0.0;0.31179999999999997
40837508;40;LKO_CAN;0.47;0;0.47;0.235;0.0;0.235
40837527;40;LKO_CAN;0.165;0;0.165;0.165;0.0;0.165
40837528;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40838504;40;LKO_CAN;0.874;0;0.874;0.874;0.0;0.874
40838505;40;LKO_CAN;0.942;0;0.942;0.942;0.0;0.942
40838506;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40838527;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40839526;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40840500;40;LKO_CAN;18.155;21;10.525;0.37051020408163265;0.42857142857142855;0.21479591836734693
40840501;40;LKO_CAN;0.591;0;0.591;0.591;0.0;0.591
40840502;40;LKO_CAN;0.653;0;0.653;0.653;0.0;0.653
40843494;40;LKO_CAN;0.22;0;0.22;0.22;0.0;0.22
40843536;40;LKO_CAN;0.64;1;0.0;0.64;1.0;0.0
40844493;40;LKO_CAN;24.517;10;15.105;0.908037037037037;0.37037037037037035;0.5594444444444444
40844497;40;LKO_CAN;0.96;1;0.0;0.96;1.0;0.0
40844520;40;LKO_CAN;0.122;0;0.122;0.122;0.0;0.122
40845492;40;LKO_CAN;24.383;6;20.751;0.6416578947368421;0.15789473684210525;0.5460789473684211
40845520;40;LKO_CAN;0.468;0;0.468;0.468;0.0;0.468
40845535;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40846518;40;LKO_CAN;2.005;6;0.158;0.2864285714285714;0.8571428571428571;0.022571428571428572
40846520;40;LKO_CAN;0.964;1;0.0;0.964;1.0;0.0
40846534;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40847492;40;LKO_CAN;0.124;0;0.124;0.124;0.0;0.124
40847518;40;LKO_CAN;5.0;1;4.0;1.0;0.2;0.8
40847519;40;LKO_CAN;0.691;0;0.691;0.691;0.0;0.691
40847533;40;LKO_CAN;0.974;1;0.0;0.974;1.0;0.0
40847534;40;LKO_CAN;22.463;10;13.358;0.9359583333333333;0.4166666666666667;0.5565833333333333
40848490;40;LKO_CAN;0.147;0;0.147;0.147;0.0;0.147
40848518;40;LKO_CAN;0.548;0;0.548;0.548;0.0;0.548
40848532;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40848533;40;LKO_CAN;0.96;1;0.0;0.96;1.0;0.0
40849515;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40849530;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40850530;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40850531;40;LKO_CAN;3.0;3;0.0;1.0;1.0;0.0
40851358;40;LKO_CAN;20.937;10;12.512;0.872375;0.4166666666666667;0.5213333333333333
40852336;40;LKO_CAN;2.875;4;0.0;0.71875;1.0;0.0
40852337;40;LKO_CAN;17.635;14;4.8580000000000005;0.8397619047619048;0.6666666666666666;0.23133333333333336
40852338;40;LKO_CAN;18.71;5;15.167;0.7196153846153847;0.19230769230769232;0.5833461538461538
40852339;40;LKO_CAN;12.535;4;10.616;0.62675;0.2;0.5307999999999999
40852340;40;LKO_CAN;14.181;5;11.196;0.5454230769230769;0.19230769230769232;0.4306153846153846
40852341;40;LKO_CAN;9.891;12;1.0;0.7608461538461538;0.9230769230769231;0.07692307692307693
40852342;40;LKO_CAN;15.738;16;2.793;0.8283157894736842;0.8421052631578947;0.14700000000000002
40852343;40;LKO_CAN;21.626;11;12.881;0.8317692307692308;0.4230769230769231;0.4954230769230769
40852344;40;LKO_CAN;17.267;17;4.611;0.7507391304347826;0.7391304347826086;0.20047826086956522
40852345;40;LKO_CAN;10.644;6;6.6530000000000005;0.5322;0.3;0.33265
40852346;40;LKO_CAN;19.505;13;7.634;0.8480434782608696;0.5652173913043478;0.3319130434782609
40852347;40;LKO_CAN;22.176;13;12.89;0.7392;0.43333333333333335;0.4296666666666667
40852348;40;LKO_CAN;21.683;10;13.522;0.8339615384615384;0.38461538461538464;0.5200769230769231
40852512;40;LKO_CAN;0.903;1;0.0;0.903;1.0;0.0
40852528;40;LKO_CAN;0.232;0;0.232;0.232;0.0;0.232
40853333;40;LKO_CAN;14.833;15;2.0;0.8725294117647059;0.8823529411764706;0.11764705882352941
40853334;40;LKO_CAN;6.156;1;5.823;0.3621176470588235;0.058823529411764705;0.3425294117647059
40853335;40;LKO_CAN;6.791;1;6.458;0.3772777777777778;0.05555555555555555;0.3587777777777778
40853336;40;LKO_CAN;5.296;1;4.963;0.331;0.0625;0.3101875
40853337;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40853338;40;LKO_CAN;6.963;1;6.667;0.38683333333333336;0.05555555555555555;0.3703888888888889
40853339;40;LKO_CAN;0.9099999999999999;0;0.9099999999999999;0.22749999999999998;0.0;0.22749999999999998
40853341;40;LKO_CAN;0.13;0;0.13;0.13;0.0;0.13
40853356;40;LKO_CAN;15.189;6;10.378;0.6603913043478261;0.2608695652173913;0.45121739130434785
40853359;40;LKO_CAN;10.350999999999999;4;9.113;0.4705;0.18181818181818182;0.4142272727272727
40853360;40;LKO_CAN;6.84;1;6.507;0.38;0.05555555555555555;0.3615
40853361;40;LKO_CAN;1.9360000000000002;0;1.9360000000000002;0.24200000000000002;0.0;0.24200000000000002
40853362;40;LKO_CAN;22.032;13;12.883;0.7344;0.43333333333333335;0.4294333333333333
40854327;40;LKO_CAN;17.384;17;3.292;0.7901818181818182;0.7727272727272727;0.14963636363636362
40854328;40;LKO_CAN;14.509;11;4.968;0.8060555555555555;0.6111111111111112;0.276
40854329;40;LKO_CAN;20.39;13;8.599;0.8495833333333334;0.5416666666666666;0.3582916666666667
40854330;40;LKO_CAN;13.102;4;9.924;0.623904761904762;0.19047619047619047;0.47257142857142853
40854331;40;LKO_CAN;12.461;5;10.171;0.49844;0.2;0.40684
40854332;40;LKO_CAN;5.354;1;5.021;0.334625;0.0625;0.3138125
40854333;40;LKO_CAN;5.135;1;4.802;0.30205882352941177;0.058823529411764705;0.2824705882352941
40854334;40;LKO_CAN;0.643;0;0.643;0.21433333333333335;0.0;0.21433333333333335
40854335;40;LKO_CAN;0.161;0;0.161;0.161;0.0;0.161
40854336;40;LKO_CAN;0.624;0;0.624;0.208;0.0;0.208
40854337;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40854338;40;LKO_CAN;0.607;0;0.607;0.20233333333333334;0.0;0.20233333333333334
40854364;40;LKO_CAN;21.191;12;12.638;0.7568214285714285;0.42857142857142855;0.45135714285714285
40854365;40;LKO_CAN;15.818999999999999;12;5.716;0.7909499999999999;0.6;0.2858
40854366;40;LKO_CAN;0.734;1;0.0;0.734;1.0;0.0
40854367;40;LKO_CAN;15.209;16;2.0;0.8449444444444444;0.8888888888888888;0.1111111111111111
40854368;40;LKO_CAN;16.971;13;6.384;0.7714090909090909;0.5909090909090909;0.2901818181818182
40854369;40;LKO_CAN;16.832;13;6.808;0.7650909090909092;0.5909090909090909;0.3094545454545454
40854370;40;LKO_CAN;13.692;12;4.458;0.7606666666666667;0.6666666666666666;0.24766666666666667
40854371;40;LKO_CAN;13.786999999999999;10;4.756;0.8109999999999999;0.5882352941176471;0.27976470588235297
40854372;40;LKO_CAN;4.66;1;4.327;0.2741176470588235;0.058823529411764705;0.2545294117647059
40854373;40;LKO_CAN;7.796;8;4.93;0.3543636363636364;0.36363636363636365;0.2240909090909091
40854374;40;LKO_CAN;5.528;2;5.027;0.3071111111111111;0.1111111111111111;0.2792777777777778
40854375;40;LKO_CAN;9.118;9;6.746;0.3506923076923077;0.34615384615384615;0.25946153846153847
40854376;40;LKO_CAN;12.291;7;8.85;0.512125;0.2916666666666667;0.36874999999999997
