PT_ID;VAR1;VAR2;VAR3;SECTION;TILE
40837507;0.333;0;0.333;LKO_CAN;40
40852339;0.333;1;0.0;LKO_CAN;40
40853334;0.292;0;0.292;LKO_CAN;40
40853335;0.333;1;0.0;LKO_CAN;40
40853336;0.296;0;0.296;LKO_CAN;40
40853338;0.333;1;0.0;LKO_CAN;40
40853339;0.157;0;0.157;LKO_CAN;40
40853359;0.333;1;0.0;LKO_CAN;40
40853360;0.333;1;0.0;LKO_CAN;40
40853361;0.216;0;0.216;LKO_CAN;40
40854331;0.249;1;0.0;LKO_CAN;40
40854332;0.299;0;0.299;LKO_CAN;40
40854333;0.284;0;0.284;LKO_CAN;40
40854372;0.31;0;0.31;LKO_CAN;40
40854374;0.333;1;0.0;LKO_CAN;40
40855325;0.292;0;0.292;LKO_CAN;40
40855326;0.259;0;0.259;LKO_CAN;40
40855330;0.269;0;0.269;LKO_CAN;40
40855331;0.333;1;0.0;LKO_CAN;40
40855364;0.222;1;0.0;LKO_CAN;40
40855369;0.333;1;0.0;LKO_CAN;40
40855373;0.196;0;0.196;LKO_CAN;40
40855374;0.135;0;0.135;LKO_CAN;40
40855375;0.296;0;0.296;LKO_CAN;40
40855376;0.31;0;0.31;LKO_CAN;40
40855524;0.333;1;0.0;LKO_CAN;40
40856328;0.236;0;0.236;LKO_CAN;40
40856330;0.126;0;0.126;LKO_CAN;40
40856365;0.302;1;0.0;LKO_CAN;40
40856366;0.149;0;0.149;LKO_CAN;40
40856367;0.121;0;0.121;LKO_CAN;40
40856369;0.218;0;0.218;LKO_CAN;40
40857319;0.191;1;0.0;LKO_CAN;40
40857386;0.333;1;0.0;LKO_CAN;40
40858317;0.333;1;0.0;LKO_CAN;40
40858318;0.333;1;0.0;LKO_CAN;40
40858319;0.333;1;0.0;LKO_CAN;40
40858322;0.312;0;0.312;LKO_CAN;40
40858323;0.333;1;0.0;LKO_CAN;40
40858384;0.307;1;0.0;LKO_CAN;40
40859318;0.238;0;0.238;LKO_CAN;40
40859319;0.205;0;0.205;LKO_CAN;40
40859502;0.333;0;0.333;LKO_CAN;40
40860312;0.333;1;0.0;LKO_CAN;40
40860313;0.333;1;0.0;LKO_CAN;40
40860388;0.33;1;0.0;LKO_CAN;40
40860502;0.226;0;0.226;LKO_CAN;40
40861311;0.333;1;0.0;LKO_CAN;40
40862306;0.333;1;0.0;LKO_CAN;40
40863393;0.333;1;0.0;LKO_CAN;40
40865395;0.23;0;0.23;LKO_CAN;40
40865493;0.333;0;0.333;LKO_CAN;40
40866302;0.333;1;0.0;LKO_CAN;40
40866444;0.252;0;0.252;LKO_CAN;40
40869300;0.333;1;0.0;LKO_CAN;40
40870300;0.17;0;0.17;LKO_CAN;40
40870396;0.157;1;0.0;LKO_CAN;40
40871397;0.274;0;0.274;LKO_CAN;40
40873297;0.333;1;0.0;LKO_CAN;40
40877475;0.333;0;0.333;LKO_CAN;40
40884296;0.333;1;0.0;LKO_CAN;40
40885296;0.176;0;0.176;LKO_CAN;40
40885429;0.225;1;0.0;LKO_CAN;40
40886295;0.333;1;0.0;LKO_CAN;40
40889296;0.145;0;0.145;LKO_CAN;40
40889428;0.173;0;0.173;LKO_CAN;40
