PT_ID;XVAL;YVAL;X_COORD;Y_COORD
40840500;635715;5034045;4.540452662024284;-37.19029698320821
40844493;635645;5034085;4.539935750150492;-37.19004335084686
40846518;635895;5034105;4.541710214683536;-37.18979158796767
40851358;634295;5034155;4.530275342433185;-37.190136914242615
40852337;634085;5034165;4.528773007056865;-37.19015767340866
40852343;634145;5034165;4.529200991794577;-37.19013143727603
40852345;634165;5034165;4.529343653339128;-37.19012269134182
40852346;634175;5034165;4.5294149841049;-37.190118318270336
40852347;634185;5034165;4.529486314866334;-37.19011394512928
40852348;634195;5034165;4.529557645623435;-37.19010957191864
40853362;634335;5034175;4.53055188600984;-37.18997726146453
40854329;634005;5034185;4.528193585558828;-37.19005049487754
40854364;634355;5034185;4.530690157351567;-37.18989743474566
40854373;634445;5034185;4.531332132096733;-37.18985806264865
40855328;633995;5034195;4.5281178674541485;-37.18998378880648
40855368;634395;5034195;4.530971089324272;-37.18980885865521
40856382;634535;5034205;4.53196532418547;-37.18967652875404
40856385;634565;5034205;4.532179315155623;-37.189663401573746
40857382;634535;5034215;4.531960933028712;-37.189605450777734
40857522;635935;5034215;4.541947126948379;-37.18899218131995
40858315;633865;5034225;4.527177409330153;-37.189827383764914
40858383;634545;5034225;4.532027872058073;-37.18952999720826
40858387;634585;5034225;4.532313192770447;-37.18951249386143
40859312;633835;5034235;4.526959031560716;-37.189769418707165
40859313;633845;5034235;4.527030361983804;-37.189765047912424
40859502;635735;5034235;4.540511734054489;-37.188937718333406
40860311;633825;5034245;4.526883314894865;-37.18970271186231
40860389;634605;5034245;4.532447069801497;-37.18936158612685
40860502;635735;5034245;4.540507334562197;-37.18886664023148
40861309;633805;5034255;4.526736268063337;-37.18964037561457
40861389;634605;5034255;4.532442678147714;-37.18929050840939
40861391;634625;5034255;4.53258533804416;-37.189281756023426
40864303;633745;5034285;4.526295129113235;-37.18945336568563
40864304;633755;5034285;4.526366459228369;-37.18944899550321
40866301;633725;5034305;4.526143697749943;-37.189319951522684
40866394;634655;5034305;4.532777367810254;-37.18891323930948
40866444;635155;5034305;4.536343841579609;-37.18869432806648
40866447;635185;5034305;4.536557829660586;-37.18868118785986
40867300;633715;5034315;4.526067982265745;-37.18925324444956
40868397;634685;5034325;4.53298257208793;-37.18875795496578
40869299;633705;5034335;4.525987881482089;-37.18911546047158
40869301;633725;5034335;4.526130541048778;-37.18910672056602
40871298;633695;5034355;4.5259077809604005;-37.188977676713456
40872298;633695;5034365;4.525903395590252;-37.18890660001456
40872400;634715;5034365;4.533178990589121;-37.188460516205836
40875297;633685;5034395;4.525818910085079;-37.18869774013089
40876296;633675;5034405;4.52574319546029;-37.1886310334418
40877296;633675;5034415;4.5257388102148415;-37.188559957096395
40878473;635445;5034425;4.538359621208934;-37.18771435402048
40880466;635375;5034445;4.537851528147007;-37.187602873138005
40881296;633675;5034455;4.525721269204886;-37.18827565241054
40881465;635365;5034455;4.537775802860993;-37.18753617810019
40882296;633675;5034465;4.525716883945355;-37.18820457641303
40885429;635005;5034495;4.535190405624245;-37.18740956078916
40891418;634895;5034555;4.534379433650405;-37.187031269981475
40891429;635005;5034555;4.535164038581783;-37.1869831052977
40892429;635005;5034565;4.535159644064828;-37.18691202962601
40893294;633655;5034575;4.525525989625456;-37.187431484376035
40893421;634925;5034575;4.534584628939177;-37.18687598376442
40894421;634925;5034585;4.534580234971728;-37.18680490825419
40895420;634915;5034595;4.534504513544972;-37.18673821122352
40895445;635165;5034595;4.536287698654445;-37.18662873009766
40895457;635285;5034595;4.537143626542834;-37.18657616370893
40895458;635295;5034595;4.53721495383863;-37.18657178272421
40896456;635275;5034605;4.5370679028408185;-37.1865094691555
40896457;635285;5034605;4.537139230071564;-37.18650508823759
40897456;635275;5034615;4.53706350643612;-37.18643839375654
