PT_ID;XVAL;YVAL
41000167;633635;5035645
41000392;635885;5035645
41000393;635895;5035645
41000394;635905;5035645
41000395;635915;5035645
41001168;633645;5035655
41001169;633655;5035655
41001392;635885;5035655
41001393;635895;5035655
41001394;635905;5035655
41001395;635915;5035655
41002170;633665;5035665
41002391;635875;5035665
41002392;635885;5035665
41002393;635895;5035665
41002394;635905;5035665
41002395;635915;5035665
41003170;633665;5035675
41003390;635865;5035675
41003391;635875;5035675
41003392;635885;5035675
41003394;635905;5035675
41004171;633675;5035685
41004394;635905;5035685
41005392;635885;5035695
41005393;635895;5035695
41005394;635905;5035695
41006159;633555;5035705
41006392;635885;5035705
41006393;635895;5035705
41006394;635905;5035705
41007159;633555;5035715
41007160;633565;5035715
41007394;635905;5035715
41008394;635905;5035725
41009174;633705;5035735
41010156;633525;5035745
41010158;633545;5035745
41010392;635885;5035745
41010393;635895;5035745
41011391;635875;5035755
41012154;633505;5035765
41012174;633705;5035765
41012391;635875;5035765
41012392;635885;5035765
41012393;635895;5035765
41013156;633525;5035775
41013392;635885;5035775
41014154;633505;5035785
41014392;635885;5035785
41015174;633705;5035795
41015390;635865;5035795
41015391;635875;5035795
41015392;635885;5035795
41016390;635865;5035805
41016391;635875;5035805
41017389;635855;5035815
41017390;635865;5035815
41017391;635875;5035815
41018150;633465;5035825
41018175;633715;5035825
41019150;633465;5035835
41019175;633715;5035835
41019391;635875;5035835
41021174;633705;5035855
41022390;635865;5035865
41024150;633465;5035885
41024387;635835;5035885
41024388;635845;5035885
41024389;635855;5035885
41025387;635835;5035895
41026147;633435;5035905
41026386;635825;5035905
41026387;635835;5035905
41027147;633435;5035915
41027148;633445;5035915
41027150;633465;5035915
41027176;633725;5035915
41027384;635805;5035915
41028147;633435;5035925
41028148;633445;5035925
41028383;635795;5035925
41028384;635805;5035925
41029177;633735;5035935
41029383;635795;5035935
41030148;633445;5035945
41030383;635795;5035945
41031148;633445;5035955
41032148;633445;5035965
41032178;633745;5035965
41032382;635785;5035965
41033148;633445;5035975
41033382;635785;5035975
41034148;633445;5035985
41034149;633455;5035985
41034382;635785;5035985
41036148;633445;5036005
41036149;633455;5036005
41036179;633755;5036005
41036376;635725;5036005
41036377;635735;5036005
41036378;635745;5036005
41036380;635765;5036005
41037149;633455;5036015
41037377;635735;5036015
41037378;635745;5036015
41037380;635765;5036015
41038148;633445;5036025
41038149;633455;5036025
41038180;633765;5036025
41038377;635735;5036025
41038378;635745;5036025
41039149;633455;5036035
41040149;633455;5036045
41040372;635685;5036045
41040373;635695;5036045
41041372;635685;5036055
41042370;635665;5036065
41044149;633455;5036085
41045150;633465;5036095
41045151;633475;5036095
41046151;633475;5036105
41046183;633795;5036105
41047148;633445;5036115
41047150;633465;5036115
41047184;633805;5036115
41047368;635645;5036115
41048148;633445;5036125
41048150;633465;5036125
41048184;633805;5036125
41049148;633445;5036135
41049149;633455;5036135
41049150;633465;5036135
41049184;633805;5036135
41049367;635635;5036135
41050149;633455;5036145
41050150;633465;5036145
41050366;635625;5036145
41051149;633455;5036155
41051150;633465;5036155
41051365;635615;5036155
41052148;633445;5036165
41052149;633455;5036165
41052150;633465;5036165
41052365;635615;5036165
41053149;633455;5036175
41053150;633465;5036175
41053185;633815;5036175
41054148;633445;5036185
41054149;633455;5036185
41054150;633465;5036185
41054185;633815;5036185
41054186;633825;5036185
41054363;635595;5036185
41055148;633445;5036195
41055149;633455;5036195
41055150;633465;5036195
41055187;633835;5036195
41055362;635585;5036195
41056148;633445;5036205
41057148;633445;5036215
41057149;633455;5036215
41058148;633445;5036225
41058149;633455;5036225
41058188;633845;5036225
41059147;633435;5036235
41059152;633485;5036235
41059359;635555;5036235
41060072;632685;5036245
41060147;633435;5036245
41060148;633445;5036245
41060149;633455;5036245
41060188;633845;5036245
41060358;635545;5036245
41061072;632685;5036255
41061147;633435;5036255
41061148;633445;5036255
41061356;635525;5036255
41061357;635535;5036255
41062146;633425;5036265
41062189;633855;5036265
41062190;633865;5036265
41062355;635515;5036265
41062356;635525;5036265
41063146;633425;5036275
41063147;633435;5036275
41063148;633445;5036275
41063151;633475;5036275
41063152;633485;5036275
41063156;633525;5036275
41063190;633865;5036275
41063355;635515;5036275
41064145;633415;5036285
41064146;633425;5036285
41064150;633465;5036285
41064151;633475;5036285
41064152;633485;5036285
41064153;633495;5036285
41064158;633545;5036285
