PT_ID;XVAL;YVAL
43781571;641285;5063455
43781572;641295;5063455
43781573;641305;5063455
43781574;641315;5063455
43781631;641885;5063455
43782554;641115;5063465
43782565;641225;5063465
43782566;641235;5063465
43782567;641245;5063465
43782568;641255;5063465
43782569;641265;5063465
43782574;641315;5063465
43782575;641325;5063465
43782576;641335;5063465
43783554;641115;5063475
43783564;641215;5063475
43783565;641225;5063475
43783577;641345;5063475
43784554;641115;5063485
43784564;641215;5063485
43784578;641355;5063485
43785554;641115;5063495
43785564;641215;5063495
43785578;641355;5063495
43785579;641365;5063495
43786564;641215;5063505
43787554;641115;5063515
43787564;641215;5063515
43787632;641895;5063515
43788507;640645;5063525
43788552;641095;5063525
43788554;641115;5063525
43788579;641365;5063525
43788580;641375;5063525
43789554;641115;5063535
43789580;641375;5063535
43790578;641355;5063545
43790580;641375;5063545
43791579;641365;5063555
43792579;641365;5063565
43793558;641155;5063575
43793559;641165;5063575
43793579;641365;5063575
43794578;641355;5063585
43794579;641365;5063585
43794585;641425;5063585
43794588;641455;5063585
43795578;641355;5063595
43795588;641455;5063595
43795589;641465;5063595
43796577;641345;5063605
43796578;641355;5063605
43796588;641455;5063605
43796589;641465;5063605
43797575;641325;5063615
43797577;641345;5063615
43797588;641455;5063615
43797589;641465;5063615
43797590;641475;5063615
43798576;641335;5063625
43798577;641345;5063625
43798582;641395;5063625
43798589;641465;5063625
43799581;641385;5063635
43799588;641455;5063635
43800575;641325;5063645
43801575;641325;5063655
43801579;641365;5063655
43801580;641375;5063655
43801586;641435;5063655
43802536;640935;5063665
43802574;641315;5063665
43802575;641325;5063665
43802580;641375;5063665
43802586;641435;5063665
43802593;641505;5063665
43802594;641515;5063665
43803536;640935;5063675
43803574;641315;5063675
43803580;641375;5063675
43803586;641435;5063675
43803618;641755;5063675
43804574;641315;5063685
43804580;641375;5063685
43805579;641365;5063695
43805580;641375;5063695
43805581;641385;5063695
43805586;641435;5063695
43805587;641445;5063695
43806577;641345;5063705
43806579;641365;5063705
43806580;641375;5063705
43806586;641435;5063705
43806587;641445;5063705
43806614;641715;5063705
43807578;641355;5063715
43807579;641365;5063715
43807580;641375;5063715
43808577;641345;5063725
43808587;641445;5063725
