PT_ID;XVAL;YVAL
44004346;640825;5065685
44005346;640825;5065695
44006346;640825;5065705
44010245;639815;5065745
44010303;640395;5065745
44011305;640415;5065755
44011307;640435;5065755
44012303;640395;5065765
44012306;640425;5065765
44012307;640435;5065765
44013290;640265;5065775
44013293;640295;5065775
44013303;640395;5065775
44013307;640435;5065775
44014291;640275;5065785
44014303;640395;5065785
44015255;639915;5065795
44015306;640425;5065795
44016245;639815;5065805
44016291;640275;5065805
44016297;640335;5065805
44016303;640395;5065805
44017291;640275;5065815
44017303;640395;5065815
44017307;640435;5065815
44018250;639865;5065825
44018251;639875;5065825
44018252;639885;5065825
44018277;640135;5065825
44018278;640145;5065825
44018279;640155;5065825
44018302;640385;5065825
44019254;639905;5065835
44019277;640135;5065835
44019280;640165;5065835
44019291;640275;5065835
44019307;640435;5065835
44019308;640445;5065835
44019325;640615;5065835
44020297;640335;5065845
44020302;640385;5065845
44020309;640455;5065845
44021299;640355;5065855
44021308;640445;5065855
44021309;640455;5065855
44021311;640475;5065855
44021312;640485;5065855
44022253;639895;5065865
44022300;640365;5065865
44022314;640505;5065865
44022321;640575;5065865
44023285;640215;5065875
44023315;640515;5065875
44023319;640555;5065875
44023322;640585;5065875
44023324;640605;5065875
44024273;640095;5065885
44024286;640225;5065885
44024324;640605;5065885
44027252;639885;5065915
44028252;639885;5065925
44029246;639825;5065935
44029247;639835;5065935
44029248;639845;5065935
44033261;639975;5065975
44033269;640055;5065975
44033270;640065;5065975
44089344;640805;5066535
44091344;640805;5066555
44153346;640825;5067175
44173349;640855;5067375
44175350;640865;5067395
44200357;640935;5067645
44202358;640945;5067665
44203358;640945;5067675
44204359;640955;5067685
44214363;640995;5067785
44215364;641005;5067795
44216364;641005;5067805
44217365;641015;5067815
44218365;641015;5067825
44219365;641015;5067835
44220340;640765;5067845
44220366;641025;5067845
44221366;641025;5067855
44222366;641025;5067865
44224342;640785;5067885
44229344;640805;5067935
44233371;641075;5067975
44235372;641085;5067995
44238373;641095;5068025
44239373;641095;5068035
44259378;641145;5068235
44283386;641225;5068475
44284386;641225;5068485
44285387;641235;5068495
44286387;641235;5068505
44286388;641245;5068505
44287388;641245;5068515
44288388;641245;5068525
44321396;641325;5068855
44322396;641325;5068865
44324397;641335;5068885
44327398;641345;5068915
44328398;641345;5068925
44329398;641345;5068935
44330398;641345;5068945
44345402;641385;5069095
44356405;641415;5069205
44359406;641425;5069235
44360406;641425;5069245
44365408;641445;5069295
44369409;641455;5069335
44370409;641455;5069345
44394352;640885;5069585
44396353;640895;5069605
44399356;640925;5069635
44400357;640935;5069645
44404362;640985;5069685
44406365;641015;5069705
44407378;641145;5069715
44445423;641595;5070095
44445424;641605;5070095
44446423;641595;5070105
44446424;641605;5070105
44446425;641615;5070105
44446453;641895;5070105
44447424;641605;5070115
44447425;641615;5070115
44447426;641625;5070115
44448425;641615;5070125
44448426;641625;5070125
44448427;641635;5070125
44449426;641625;5070135
44449427;641635;5070135
44449455;641915;5070135
44450427;641635;5070145
44450428;641645;5070145
44451428;641645;5070155
44455460;641965;5070195
44459463;641995;5070235
44483426;641625;5070475
44484426;641625;5070485
44484427;641635;5070485
44486429;641655;5070505
44517497;642335;5070815
44518500;642365;5070825
44519498;642345;5070835
44520514;642505;5070845
44522516;642525;5070865
44540513;642495;5071045
44549483;642195;5071135
44551483;642195;5071155
44556536;642725;5071205
44562488;642245;5071265
44564488;642245;5071285
44564489;642255;5071285
44565489;642255;5071295
44566489;642255;5071305
44567489;642255;5071315
44567490;642265;5071315
44568491;642275;5071325
44569491;642275;5071335
44570491;642275;5071345
44574492;642285;5071385
44578494;642305;5071425
44584496;642325;5071485
44584549;642855;5071485
44585496;642325;5071495
44607507;642435;5071715
44611557;642935;5071755
44628563;642995;5071925
44650530;642665;5072145
44658575;643115;5072225
44702599;643355;5072665
44712550;642865;5072765
44713550;642865;5072775
44730557;642935;5072945
44735559;642955;5072995
44741611;643475;5073055
44748613;643495;5073125
44757615;643515;5073215
44758572;643085;5073225
44814641;643775;5073785
44815641;643775;5073795
44819642;643785;5073835
44830646;643825;5073945
44838648;643845;5074025
44839648;643845;5074035
44840648;643845;5074045
44879609;643455;5074435
44902627;643635;5074665
44911657;643935;5074755
44912657;643935;5074765
44931633;643695;5074955
44961672;644085;5075255
44965673;644095;5075295
44971642;643785;5075355
44971675;644115;5075355
44976677;644135;5075405
44982645;643815;5075465
44987646;643825;5075515
