YEAR;VAR1;VAR2;VAR3
1926;0.7110759663865547;0.9670588235294117;0.013353613445378153
1927;0.3274941080861438;0.5339292970337262;0.136873222267371
1928;0.7414020846493998;0.43746051800379027;0.349971572962729
1929;0.7441715187653454;0.0;0.7441715187653454
1930;0.6958160073597056;0.8850045998160073;0.041768169273229065
1931;0.3837850372376439;0.17095463777928233;0.29518381855111714
1932;0.7348529411764706;0.915876027830487;0.033084756483238456
1933;0.7829970396684428;0.9828300769686205;0.006627590290112493
1934;0.7495384615384615;0.9718406593406593;0.007562156593406593
1935;0.3658486819582335;0.0;0.3658486819582335
1936;0.7690467289719626;0.9362286970863112;0.02229741616272677
1937;0.6152196567862714;0.0;0.6152196567862714
1938;0.5051435231435231;0.4835164835164835;0.2087029637029637
1939;0.7160038948393379;0.994157740993184;0.0011353456669912366
1940;0.7046603773584905;0.0;0.7046603773584905
1941;0.43586418063633253;0.6356483065343825;0.10152617174136162
1942;0.7475793125197099;0.9605802585935036;0.015018921475875118
1943;0.6959511634587763;0.08905486929043378;0.6300749784544671
1944;0.6791085556577736;0.06501073290401717;0.6410088929776142
1945;0.683014125956445;0.4187757504414361;0.3454823425544438
1946;0.5436063895781638;0.5145781637717122;0.1653877171215881
1947;0.7415997115037866;0.0;0.7415997115037866
1948;0.7033979153893317;0.881361128142244;0.0434209074187615
1949;0.5455202408832385;0.4272331883573101;0.26779591836734695
1950;0.6894704040087691;0.83463827121829;0.06412026307547761
1951;0.7512704918032788;0.9877049180327869;0.003047423887587822
1952;0.7566232365145228;0.9863070539419088;0.003728630705394191
1953;0.5964028268551237;0.043580683156654886;0.57635777385159
1954;0.7316139793486894;0.7434471803018269;0.11327561556791105
1955;0.7536853594279262;0.9830636055701919;0.004534060971019948
1956;0.6407965463108319;0.0;0.6407965463108319
1957;0.30391971982758625;0.4832974137931034;0.1484396551724138
1958;0.7092676277029145;0.06142275148856158;0.6795769351300534
1959;0.7478983918128655;0.9502923976608187;0.02233698830409357
1960;0.753319110576923;0.9831730769230769;0.0054471153846153844
1961;0.37566434031239615;0.0;0.37566434031239615
1962;0.6912558284115635;0.4084550823748834;0.3477003419334784
1963;0.7089512796793093;0.20104841196423065;0.5657971014492754
1964;0.4196540707660598;0.08141532119546548;0.384612504294057
1965;0.2817880549682875;0.0;0.2817880549682875
1966;0.7146945634266886;0.32520593080724874;0.4391426688632619
1967;0.6527396723646723;0.0;0.6527396723646723
1968;0.7563836003770028;0.8410304743952246;0.07460885956644675
1969;0.7609032051282051;0.06442307692307692;0.7031378205128205
1970;0.7450418018018018;0.5682882882882883;0.23861189189189191
1971;0.7407007921998782;0.9792809262644728;0.006280926264472883
1972;0.6951677354033076;0.1731353358083024;0.5759105636179548
1973;0.7238343862815885;0.8298736462093863;0.10993772563176896
1974;0.6843976753839768;0.0;0.6843976753839768
1975;0.6581562802712302;0.8582499192767195;0.04592573458185341
1976;0.6984010025062656;0.8596491228070176;0.05562531328320802
1977;0.7185395348837209;0.7581395348837209;0.13711023255813953
1978;0.7768669083376489;0.9896426721905748;0.003224236147074055
1979;0.6919621833749554;0.20192650731359257;0.541374241883696
1980;0.28921038100496965;0.0;0.28921038100496965
1981;0.5413167926388432;0.02924745317121262;0.5308113703581991
1982;0.7475805104408353;0.9447795823665893;0.01911136890951276
1983;0.574104768083036;0.0;0.574104768083036
1984;0.5810909943714822;0.0;0.5810909943714822
1985;0.42994617184888;0.5449682380474757;0.13968472082915415
1986;0.7522056259904912;0.9766244057052298;0.005799524564183835
1987;0.5120178031575412;0.10312395028552233;0.44188780651662746
1988;0.44775932611311675;0.0;0.44775932611311675
1989;0.6513137626262626;0.12026515151515152;0.5672155934343435
1990;0.7353327745180217;0.9019279128248114;0.03894677284157586
1991;0.6316695102685623;0.0;0.6316695102685623
1992;0.5495001602050625;0.24543415571932073;0.36103973085549507
1993;0.7413041606886657;0.16714490674318508;0.5994766857962697
1994;0.7461144219308701;0.9928486293206198;0.001735399284862932
1995;0.3612408885803541;0.5314127039222493;0.13517841027421035
1996;0.5515222954633578;0.0;0.5515222954633578
1997;0.7302969472710453;0.29540548874498923;0.47876225716928766
1998;0.7317784588441332;0.9982486865148862;0.00022591943957968476
1999;0.4131163612986178;0.7020250723240116;0.0824937319189971
2000;0.6556846435100548;0.0837903717245582;0.6092559414990859
2001;0.7315331866519985;0.8808214154748808;0.05394206087275394
2002;0.4808979933110368;0.0;0.4808979933110368
2003;0.48631872909699;0.0;0.48631872909699
2004;0.681961943069307;0.8814975247524752;0.03996472772277228
2005;0.6953836419753087;0.41728395061728396;0.34034135802469134
2006;0.4220422215004872;0.07080220850925625;0.39175738876258526
2007;0.7118258426966292;0.1956928838951311;0.5621651061173533
2008;0.7445727728983689;0.9818067754077792;0.005835006273525721
2009;0.6705211838006231;0.8392523364485981;0.050377258566978195
2010;0.365984520123839;0.0;0.365984520123839
2011;0.7431774259033699;0.0;0.7431774259033699
2012;0.40230698466780235;0.6562180579216355;0.09217444633730834
2013;0.5035174439955931;0.26698494307748805;0.3553349247153874
2014;0.7709953886693017;0.09650856389986824;0.6937743741765481
2015;0.4935476753349094;0.002364066193853428;0.4930689519306541
2016;0.6352951844903064;0.8664790494058787;0.04518792995622264
