YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;123.42300000000002;0.8173708609271524;151.0;1.0;0.0;0.0
1927;55.505;0.81625;27.0;0.39705882352941174;34.53;0.5077941176470588
1928;80.36;0.7440740740740741;13.0;0.12037037037037036;71.32799999999999;0.6604444444444444
1929;47.768;0.7704516129032258;0.0;0.0;47.768;0.7704516129032258
1930;330.221;0.7825142180094787;363.0;0.8601895734597157;26.049;0.061727488151658766
1931;15.378000000000002;0.5492142857142858;0.0;0.0;15.378000000000002;0.5492142857142858
1932;135.054;0.8135783132530121;166.0;1.0;0.0;0.0
1933;9.58;0.6842857142857143;14.0;1.0;0.0;0.0
1934;60.194;0.7431358024691358;81.0;1.0;0.0;0.0
1935;132.594;0.8339245283018868;143.0;0.89937106918239;7.646000000000001;0.04808805031446541
1936;131.645;0.7698538011695907;66.0;0.38596491228070173;67.928;0.39723976608187134
1937;314.10900000000004;0.7568891566265061;0.0;0.0;314.10900000000004;0.7568891566265061
1938;352.78499999999997;0.871074074074074;23.0;0.056790123456790124;338.743;0.8364024691358024
1939;20.889;0.7736666666666666;27.0;1.0;0.0;0.0
1940;289.55100000000004;0.7520805194805196;217.0;0.5636363636363636;90.86;0.236
1941;350.054;0.8751349999999999;400.0;1.0;0.0;0.0
1942;136.24400000000003;0.7921162790697676;172.0;1.0;0.0;0.0
1943;131.476;0.806601226993865;140.0;0.8588957055214724;9.849;0.06042331288343558
1944;320.712;0.7636;420.0;1.0;0.0;0.0
1945;89.261;0.7969732142857142;112.0;1.0;0.0;0.0
1946;283.68199999999996;0.7646415094339621;371.0;1.0;0.0;0.0
1947;118.59;0.7650967741935484;0.0;0.0;118.59;0.7650967741935484
1948;293.731;0.8588625730994152;239.0;0.6988304093567251;78.47099999999999;0.2294473684210526
1949;365.41599999999994;0.8498046511627906;430.0;1.0;0.0;0.0
1950;350.366;0.807294930875576;434.0;1.0;0.0;0.0
1951;4.328;0.541;8.0;1.0;0.0;0.0
1952;54.654;0.8037352941176471;68.0;1.0;0.0;0.0
1953;170.18400000000003;0.7735636363636365;220.0;1.0;0.0;0.0
1954;42.406;0.8001132075471697;53.0;1.0;0.0;0.0
1955;30.759999999999998;0.7689999999999999;40.0;1.0;0.0;0.0
1956;280.99199999999996;0.8645907692307692;0.0;0.0;280.99199999999996;0.8645907692307692
1957;9.091;0.2597428571428571;8.0;0.22857142857142856;6.904000000000001;0.19725714285714288
1958;281.988;0.859719512195122;268.0;0.8170731707317073;35.716;0.10889024390243902
1959;294.68199999999996;0.7555948717948717;390.0;1.0;0.0;0.0
1960;18.955000000000002;0.7897916666666668;24.0;1.0;0.0;0.0
1961;179.2;0.8413145539906103;189.0;0.8873239436619719;12.161999999999999;0.05709859154929577
1962;74.64699999999999;0.9103292682926828;74.0;0.9024390243902439;5.343;0.06515853658536586
1963;321.87199999999996;0.7663619047619047;420.0;1.0;0.0;0.0
1964;19.000999999999998;0.6786071428571427;6.0;0.21428571428571427;14.603;0.5215357142857143
1965;77.174;0.26703806228373705;0.0;0.0;77.174;0.26703806228373705
1966;80.037;0.8893000000000001;86.0;0.9555555555555556;1.6360000000000001;0.01817777777777778
1967;119.516;0.8787941176470588;0.0;0.0;119.516;0.8787941176470588
1968;342.88;0.8144418052256532;421.0;1.0;0.0;0.0
1969;13.959999999999999;0.7347368421052631;18.0;0.9473684210526315;0.394;0.020736842105263158
1970;87.65500000000002;0.7428389830508476;118.0;1.0;0.0;0.0
1971;4.109999999999999;0.5137499999999999;8.0;1.0;0.0;0.0
1972;90.97900000000001;0.7710084745762713;94.0;0.7966101694915254;10.068;0.08532203389830507
1973;74.97299999999998;0.7729175257731957;35.0;0.36082474226804123;41.641000000000005;0.4292886597938145
1974;42.476000000000006;0.8014339622641511;0.0;0.0;42.476000000000006;0.8014339622641511
1975;207.764;0.7929923664122138;262.0;1.0;0.0;0.0
1976;28.42;0.812;35.0;1.0;0.0;0.0
1977;277.983;0.7679088397790055;332.0;0.9171270718232044;10.995999999999999;0.030375690607734804
1978;26.461;0.82690625;32.0;1.0;0.0;0.0
1979;76.02799999999999;0.7757959183673468;73.0;0.7448979591836735;11.383;0.11615306122448979
1980;22.401999999999997;0.35558730158730156;0.0;0.0;22.401999999999997;0.35558730158730156
1981;356.864;0.786044052863436;454.0;1.0;0.0;0.0
1982;161.763;0.7814637681159421;207.0;1.0;0.0;0.0
1983;238.272;0.758828025477707;0.0;0.0;238.272;0.758828025477707
1984;222.721;0.789790780141844;189.0;0.6702127659574468;50.721999999999994;0.17986524822695032
1985;274.539;0.8660536277602523;214.0;0.6750788643533123;76.50999999999999;0.24135646687697157
1986;57.681;0.7901506849315069;73.0;1.0;0.0;0.0
1987;353.748;0.8713004926108374;375.0;0.9236453201970444;15.564;0.03833497536945813
1988;364.447;0.8718827751196172;418.0;1.0;0.0;0.0
1989;29.577;0.7993783783783784;0.0;0.0;29.577;0.7993783783783784
1990;340.161;0.8611670886075949;380.0;0.9620253164556962;6.3629999999999995;0.01610886075949367
1991;354.964;0.8532788461538462;0.0;0.0;354.964;0.8532788461538462
1992;73.09499999999998;0.8499418604651161;1.0;0.011627906976744186;72.742;0.8458372093023256
1993;43.59499999999999;0.8383653846153845;52.0;1.0;0.0;0.0
1994;16.712;0.7596363636363637;22.0;1.0;0.0;0.0
1995;7.082;0.25292857142857145;8.0;0.2857142857142857;4.579;0.16353571428571428
1996;38.635;0.8780681818181818;0.0;0.0;38.635;0.8780681818181818
