YEAR;VAR1;VAR2;VAR3
1926;0.7776089285714286;1.0;0.0
1927;0.7162830188679246;0.21226415094339623;0.5591933962264152
1928;0.7784657534246575;0.07397260273972603;0.7317917808219178
1929;0.7776896551724138;0.0;0.7776896551724138
1930;0.8184024284475282;0.8681699913269731;0.06655767562879444
1931;0.3129528795811518;0.0;0.3129528795811518
1932;0.7681573926868044;1.0;0.0
1933;0.7874414414414415;1.0;0.0
1934;0.774277027027027;1.0;0.0
1935;0.8317373271889401;0.9331797235023042;0.029725806451612904
1936;0.7529125;0.21875;0.558759375
1937;0.8087239057239057;0.0;0.8087239057239057
1938;0.864911623439001;0.04803073967339097;0.8400268972142171
1939;0.7956372549019608;1.0;0.0
1940;0.7774907251264755;0.4300168634064081;0.3798701517706577
1941;0.8719038272816487;1.0;0.0
1942;0.775950442477876;1.0;0.0
1943;0.794479079497908;0.8765690376569037;0.05160251046025105
1944;0.8052540772532188;1.0;0.0
1945;0.7912084592145014;1.0;0.0
1946;0.7816880650994575;1.0;0.0
1947;0.77477734375;0.0;0.77477734375
1948;0.8361845238095238;0.6309523809523809;0.2834904761904762
1949;0.8442974176313446;1.0;0.0
1950;0.8364652594547054;1.0;0.0
1951;0.6132173913043478;1.0;0.0
1952;0.7960737704918033;1.0;0.0
1953;0.776929012345679;1.0;0.0
1954;0.7938;1.0;0.0
1955;0.7863121693121693;1.0;0.0
1956;0.8402811296534017;0.0;0.8402811296534017
1957;0.2903779527559055;0.07086614173228346;0.2754173228346457
1958;0.834242088607595;0.6376582278481012;0.28509177215189874
1959;0.7808803056027164;1.0;0.0
1960;0.8051147540983606;0.9836065573770492;0.006795081967213115
1961;0.8401197718631179;0.9334600760456274;0.03186882129277567
1962;0.8452871794871795;0.7538461538461538;0.14055897435897435
1963;0.8062095808383233;1.0;0.0
1964;0.3656745283018868;0.12264150943396226;0.2939009433962264
1965;0.3023781954887218;0.0;0.3023781954887218
1966;0.8385584415584415;0.935064935064935;0.02634199134199134
1967;0.8580387596899224;0.0;0.8580387596899224
1968;0.8413884892086331;1.0;0.0
1969;0.7503428571428572;0.5619047619047619;0.23036190476190474
1970;0.7616244635193132;1.0;0.0
1971;0.6135172413793104;1.0;0.0
1972;0.7814245524296675;0.6547314578005116;0.18604092071611256
1973;0.7877363636363636;0.4409090909090909;0.37826363636363636
1974;0.783548;0.0;0.783548
1975;0.7961044444444445;1.0;0.0
1976;0.794888;1.0;0.0
1977;0.7737179487179486;0.9546351084812623;0.022059171597633136
1978;0.8034084507042254;1.0;0.0
1979;0.7824120370370371;0.5763888888888888;0.24914583333333334
1980;0.3045366972477064;0.0;0.3045366972477064
1981;0.8088070898598516;1.0;0.0
1982;0.7596951724137931;1.0;0.0
1983;0.7735161009573542;0.0;0.7735161009573542
1984;0.7942726281352235;0.6913849509269356;0.16623991275899674
1985;0.845379746835443;0.6126582278481013;0.30200379746835443
1986;0.7854194630872483;1.0;0.0
1987;0.8689912875121006;0.9448209099709584;0.025751210067763795
1988;0.8654568245125348;1.0;0.0
1989;0.5192116788321168;0.0;0.5192116788321168
1990;0.8342520398912058;0.9845874886672711;0.0077126019945602895
1991;0.8531078066914498;0.0;0.8531078066914498
1992;0.7486619718309859;0.004694835680751174;0.7470046948356808
1993;0.7951309090909091;1.0;0.0
1994;0.8217956989247313;1.0;0.0
1995;0.28438028169014085;0.1936619718309859;0.22158098591549297
1996;0.6327537688442212;0.0;0.6327537688442212
1997;0.7701452020202021;0.017676767676767676;0.7623282828282828
1998;0.8193333333333334;1.0;0.0
1999;0.8339747191011235;1.0;0.0
2000;0.8514628205128205;0.6153846153846154;0.3089576923076923
2001;0.7821786941580756;1.0;0.0
2002;0.8155852272727273;0.0;0.8155852272727273
2003;0.3865540069686411;0.0;0.3865540069686411
2004;0.8374629120879121;0.9917582417582418;0.00459478021978022
2005;0.7711125654450262;1.0;0.0
2006;0.8701034146341463;0.9980487804878049;0.0006985365853658536
2007;0.7825109289617487;1.0;0.0
2008;0.7568985507246376;1.0;0.0
2009;0.7661577574967405;1.0;0.0
2010;0.8351739130434783;0.8;0.12851304347826087
2011;0.7786051282051282;0.0;0.7786051282051282
2012;0.8514397163120567;1.0;0.0
2013;0.8496111111111111;0.9803921568627451;0.009696078431372549
2014;0.7383888888888889;1.0;0.0
2015;0.8572583333333333;1.0;0.0
2016;0.7970599334073252;1.0;0.0
