PT_ID;XVAL;YVAL
47194504;644725;5097585
47223466;644345;5097875
47223467;644355;5097875
47223468;644365;5097875
47336534;645025;5099005
47336535;645035;5099005
47336536;645045;5099005
47338539;645075;5099025
47339521;644895;5099035
47341545;645135;5099055
47342545;645135;5099065
47343548;645165;5099075
47343561;645295;5099075
47345555;645235;5099095
47345562;645305;5099095
47347563;645315;5099115
47347564;645325;5099115
47348563;645315;5099125
47358579;645475;5099225
47359579;645475;5099235
47411593;645615;5099755
47423594;645625;5099875
47428593;645615;5099925
