PT_ID;XVAL;YVAL
46000407;642445;5085645
46000409;642465;5085645
46000414;642515;5085645
46001358;641955;5085655
46001410;642475;5085655
46002362;641995;5085665
46002400;642375;5085665
46003401;642385;5085675
46003404;642415;5085675
46003405;642425;5085675
46004354;641915;5085685
46004401;642385;5085685
46004402;642395;5085685
46004403;642405;5085685
46007405;642425;5085715
46008405;642425;5085725
46009404;642415;5085735
46011402;642395;5085755
46012364;642015;5085765
46012365;642025;5085765
46012366;642035;5085765
46012401;642385;5085765
46013365;642025;5085775
46014366;642035;5085785
46014388;642255;5085785
46014397;642345;5085785
46015387;642245;5085795
46015390;642275;5085795
46015398;642355;5085795
46016363;642005;5085805
46016387;642245;5085805
46016388;642255;5085805
46017385;642225;5085815
46017386;642235;5085815
46017387;642245;5085815
46017389;642265;5085815
46017390;642275;5085815
46017394;642315;5085815
46017395;642325;5085815
46018384;642215;5085825
46018385;642225;5085825
46018386;642235;5085825
46018387;642245;5085825
46018388;642255;5085825
46018389;642265;5085825
46018390;642275;5085825
46019383;642205;5085835
46019384;642215;5085835
46019385;642225;5085835
46019386;642235;5085835
46019387;642245;5085835
46019388;642255;5085835
46019389;642265;5085835
46019391;642285;5085835
46020363;642005;5085845
46020367;642045;5085845
46020383;642205;5085845
46020384;642215;5085845
46020385;642225;5085845
46020386;642235;5085845
46020387;642245;5085845
46020388;642255;5085845
46020392;642295;5085845
46021382;642195;5085855
46021383;642205;5085855
46021384;642215;5085855
46021385;642225;5085855
46021386;642235;5085855
46021387;642245;5085855
46021393;642305;5085855
46022381;642185;5085865
46022382;642195;5085865
46022383;642205;5085865
46022384;642215;5085865
46022385;642225;5085865
46022386;642235;5085865
46022387;642245;5085865
46022487;643245;5085865
46023367;642045;5085875
46023381;642185;5085875
46023382;642195;5085875
46023383;642205;5085875
46023384;642215;5085875
46023385;642225;5085875
46023386;642235;5085875
46023387;642245;5085875
46023388;642255;5085875
46023389;642265;5085875
46024368;642055;5085885
46024380;642175;5085885
46024381;642185;5085885
46024382;642195;5085885
46024383;642205;5085885
46024384;642215;5085885
46024385;642225;5085885
46024386;642235;5085885
46024387;642245;5085885
46024388;642255;5085885
46024389;642265;5085885
46024390;642275;5085885
46024391;642285;5085885
46025379;642165;5085895
46025381;642185;5085895
46025382;642195;5085895
46025383;642205;5085895
46025384;642215;5085895
46025385;642225;5085895
46025386;642235;5085895
46025387;642245;5085895
46025388;642255;5085895
46025389;642265;5085895
46025390;642275;5085895
46026366;642035;5085905
46026382;642195;5085905
46026383;642205;5085905
46026384;642215;5085905
46026385;642225;5085905
46026386;642235;5085905
46026387;642245;5085905
46027379;642165;5085915
46027383;642205;5085915
46027384;642215;5085915
46027385;642225;5085915
46027386;642235;5085915
46027387;642245;5085915
46027388;642255;5085915
46027389;642265;5085915
46028378;642155;5085925
46028379;642165;5085925
46028380;642175;5085925
46028381;642185;5085925
46028383;642205;5085925
46028385;642225;5085925
46028386;642235;5085925
46028387;642245;5085925
46028388;642255;5085925
46029378;642155;5085935
46029379;642165;5085935
46029380;642175;5085935
46029381;642185;5085935
46029384;642215;5085935
46029385;642225;5085935
46029386;642235;5085935
46029387;642245;5085935
46029388;642255;5085935
46030380;642175;5085945
46030381;642185;5085945
46030382;642195;5085945
46030386;642235;5085945
46030387;642245;5085945
46033375;642125;5085975
46034376;642135;5085985
46037378;642155;5086015
46037379;642165;5086015
46037380;642175;5086015
46037386;642235;5086015
46038377;642145;5086025
46039376;642135;5086035
46040377;642145;5086045
46040378;642155;5086045
46040381;642185;5086045
