PT_ID;XVAL;YVAL
45516521;643895;5080805
45523519;643875;5080875
45526518;643865;5080905
45539513;643815;5081035
45541512;643805;5081055
45580472;643405;5081445
45596494;643625;5081605
45692448;643165;5082565
45708448;643165;5082725
45863485;643535;5084275
45884488;643565;5084485
45900459;643275;5084645
45912300;641685;5084765
45924453;643215;5084885
45927452;643205;5084915
45928452;643205;5084925
45930451;643195;5084945
45932450;643185;5084965
45933450;643185;5084975
45934449;643175;5084985
45937447;643155;5085015
45937448;643165;5085015
45937449;643175;5085015
45937452;643205;5085015
45938449;643175;5085025
45938451;643195;5085025
45939445;643135;5085035
45940444;643125;5085045
45940449;643175;5085045
45941443;643115;5085055
45941453;643215;5085055
45942442;643105;5085065
45942450;643185;5085065
45943441;643095;5085075
45943448;643165;5085075
45944440;643085;5085085
45944446;643145;5085085
45944447;643155;5085085
45944448;643165;5085085
45945438;643065;5085095
45945439;643075;5085095
45945440;643085;5085095
45945446;643145;5085095
45945447;643155;5085095
45945448;643165;5085095
45946437;643055;5085105
45946443;643115;5085105
45947435;643035;5085115
45947443;643115;5085115
45948434;643025;5085125
45948435;643035;5085125
45948441;643095;5085125
45948442;643105;5085125
45948443;643115;5085125
45948444;643125;5085125
45949432;643005;5085135
45949440;643085;5085135
45949441;643095;5085135
45950440;643085;5085145
45950441;643095;5085145
45952434;643025;5085165
45954430;642985;5085185
45959416;642845;5085235
45959417;642855;5085235
45959423;642915;5085235
45960415;642835;5085245
45960422;642905;5085245
45960423;642915;5085245
45960424;642925;5085245
45961413;642815;5085255
45961414;642825;5085255
45961424;642925;5085255
45962412;642805;5085265
45964307;641755;5085285
45964408;642765;5085285
45964409;642775;5085285
45964413;642815;5085285
45964416;642845;5085285
45964417;642855;5085285
45965307;641755;5085295
45965308;641765;5085295
45965407;642755;5085295
45965408;642765;5085295
45965412;642805;5085295
45965413;642815;5085295
45965414;642825;5085295
45965415;642835;5085295
45965416;642845;5085295
45965417;642855;5085295
45966308;641765;5085305
45966406;642745;5085305
45966415;642835;5085305
45966416;642845;5085305
45966417;642855;5085305
45967404;642725;5085315
45967405;642735;5085315
45967416;642845;5085315
45968403;642715;5085325
45968411;642795;5085325
45969402;642705;5085335
45970400;642685;5085345
45970401;642695;5085345
45971401;642695;5085355
45971407;642755;5085355
45971408;642765;5085355
