YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;271.549;0.7692606232294616;353.0;1.0;0.0;0.0
1927;76.40599999999999;0.6945999999999999;23.0;0.20909090909090908;57.94100000000001;0.5267363636363637
1928;196.201;0.8008204081632653;13.0;0.053061224489795916;188.917;0.7710897959183673
1929;149.982;0.7893789473684211;0.0;0.0;149.982;0.7893789473684211
1930;587.8789999999999;0.8362432432432431;639.0;0.9089615931721194;30.489;0.04336984352773827
1931;41.379;0.36618584070796456;0.0;0.0;41.379;0.36618584070796456
1932;271.371;0.768756373937677;353.0;1.0;0.0;0.0
1933;64.34700000000001;0.784719512195122;82.0;1.0;0.0;0.0
1934;148.716;0.7910425531914894;188.0;1.0;0.0;0.0
1935;185.534;0.8589537037037037;211.0;0.9768518518518519;1.765;0.008171296296296296
1936;255.729;0.7565946745562131;99.0;0.29289940828402367;170.13;0.5033431952662721
1937;602.733;0.818930706521739;0.0;0.0;602.733;0.818930706521739
1938;527.384;0.8617385620915033;68.0;0.1111111111111111;485.40200000000004;0.793140522875817
1939;54.01500000000001;0.7828260869565219;69.0;1.0;0.0;0.0
1940;550.732;0.7845185185185185;364.0;0.5185185185185185;201.994;0.28774074074074074
1941;535.125;0.854832268370607;626.0;1.0;0.0;0.0
1942;253.49;0.7799692307692307;325.0;1.0;0.0;0.0
1943;236.433;0.78811;269.0;0.8966666666666666;12.565;0.041883333333333335
1944;594.1899999999999;0.7997173620457604;743.0;1.0;0.0;0.0
1945;143.24;0.8002234636871509;179.0;1.0;0.0;0.0
1946;522.011;0.7933297872340425;658.0;1.0;0.0;0.0
1947;248.51299999999998;0.7814874213836477;0.0;0.0;248.51299999999998;0.7814874213836477
1948;454.161;0.8700402298850575;379.0;0.7260536398467433;100.515;0.1925574712643678
1949;562.23;0.8492900302114804;662.0;1.0;0.0;0.0
1950;586.35;0.8376428571428571;700.0;1.0;0.0;0.0
1951;17.086;0.6102142857142857;28.0;1.0;0.0;0.0
1952;119.84;0.8264827586206897;145.0;1.0;0.0;0.0
1953;293.281;0.7862761394101877;373.0;1.0;0.0;0.0
1954;116.535;0.8036896551724138;145.0;1.0;0.0;0.0
1955;91.66099999999999;0.7834273504273503;117.0;1.0;0.0;0.0
1956;418.985;0.8533299389002037;0.0;0.0;418.985;0.8533299389002037
1957;40.022999999999996;0.29646666666666666;13.0;0.0962962962962963;36.724999999999994;0.272037037037037
1958;314.454;0.8275105263157895;263.0;0.6921052631578948;83.868;0.2207052631578947
1959;584.2470000000001;0.7905913396481733;739.0;1.0;0.0;0.0
1960;62.3;0.8090909090909091;77.0;1.0;0.0;0.0
1961;261.37800000000004;0.8324140127388536;311.0;0.9904458598726115;1.1039999999999999;0.0035159235668789806
1962;102.338;0.8599831932773109;97.0;0.8151260504201681;13.243999999999998;0.11129411764705881
1963;583.529;0.7801189839572192;748.0;1.0;0.0;0.0
1964;44.344;0.3695333333333333;25.0;0.20833333333333334;28.084000000000003;0.23403333333333337
1965;174.99599999999998;0.29117470881863555;0.0;0.0;174.99599999999998;0.29117470881863555
1966;100.834;0.8197886178861788;114.0;0.926829268292683;3.4429999999999996;0.027991869918699185
1967;184.103;0.856293023255814;0.0;0.0;184.103;0.856293023255814
1968;558.619;0.8412936746987952;664.0;1.0;0.0;0.0
1969;42.271;0.7288103448275862;33.0;0.5689655172413793;12.626000000000001;0.21768965517241382
1970;214.403;0.7768224637681159;276.0;1.0;0.0;0.0
1971;11.157;0.6198333333333333;18.0;1.0;0.0;0.0
1972;173.428;0.7992073732718894;161.0;0.7419354838709677;28.775999999999996;0.13260829493087556
1973;112.69899999999998;0.7992836879432623;62.0;0.4397163120567376;55.42999999999999;0.39312056737588646
1974;132.84799999999998;0.8051393939393938;0.0;0.0;132.84799999999998;0.8051393939393938
1975;468.11;0.7961054421768707;588.0;1.0;0.0;0.0
1976;65.438;0.7884096385542169;83.0;1.0;0.0;0.0
1977;505.447;0.7635151057401812;640.0;0.9667673716012085;8.279;0.012506042296072507
1978;74.928;0.8325333333333333;90.0;1.0;0.0;0.0
1979;177.989;0.8090409090909091;143.0;0.65;44.339;0.20154090909090908
1980;35.68599999999999;0.3366603773584905;0.0;0.0;35.68599999999999;0.3366603773584905
1981;603.713;0.8158283783783783;740.0;1.0;0.0;0.0
1982;332.953;0.7398955555555555;450.0;1.0;0.0;0.0
1983;545.838;0.7731416430594901;0.0;0.0;545.838;0.7731416430594901
1984;482.091;0.7877303921568628;428.0;0.6993464052287581;96.304;0.15735947712418302
1985;384.577;0.8288297413793103;309.0;0.665948275862069;116.345;0.2507435344827586
1986;119.703;0.8088040540540541;148.0;1.0;0.0;0.0
1987;522.014;0.8700233333333334;565.0;0.9416666666666667;15.347999999999999;0.02558
1988;546.556;0.8580156985871272;637.0;1.0;0.0;0.0
1989;46.011;0.5169775280898876;0.0;0.0;46.011;0.5169775280898876
1990;559.5899999999999;0.8543358778625953;651.0;0.9938931297709923;1.512;0.0023083969465648854
1991;535.639;0.8556533546325878;0.0;0.0;535.639;0.8556533546325878
1992;81.853;0.7441181818181818;0.0;0.0;81.853;0.7441181818181818
1993;110.23400000000001;0.8105441176470589;136.0;1.0;0.0;0.0
1994;47.619;0.8210172413793103;58.0;1.0;0.0;0.0
1995;40.917;0.2802534246575343;57.0;0.3904109589041096;21.936;0.15024657534246574
1996;73.38400000000001;0.5688682170542637;0.0;0.0;73.38400000000001;0.5688682170542637
1997;405.381;0.7577214953271028;9.0;0.016822429906542057;401.613;0.7506785046728972
