YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;128.08200000000002;0.715541899441341;179.0;1.0;0.0;0.0
1927;67.24000000000001;0.3483937823834197;118.0;0.6113989637305699;20.715;0.10733160621761657
1928;144.403;0.789087431693989;48.0;0.26229508196721313;100.547;0.5494371584699453
1929;133.637;0.814859756097561;13.0;0.07926829268292683;126.32500000000002;0.7702743902439025
1930;154.323;0.7144583333333334;195.0;0.9027777777777778;8.116;0.03757407407407407
1931;82.874;0.41436999999999996;30.0;0.15;70.60600000000001;0.35303000000000007
1932;145.562;0.7621047120418849;188.0;0.9842931937172775;0.36;0.0018848167539267015
1933;75.42699999999999;0.7696632653061224;98.0;1.0;0.0;0.0
1934;131.461;0.7871916167664671;167.0;1.0;0.0;0.0
1935;73.227;0.36613500000000004;0.0;0.0;73.227;0.36613500000000004
1936;103.02800000000002;0.7864732824427483;131.0;1.0;0.0;0.0
1937;146.482;0.6341212121212121;0.0;0.0;146.482;0.6341212121212121
1938;116.45400000000001;0.5198839285714286;98.0;0.4375;51.138000000000005;0.22829464285714288
1939;67.41199999999999;0.8121927710843373;83.0;1.0;0.0;0.0
1940;148.126;0.7332970297029703;54.0;0.26732673267326734;102.90899999999999;0.5094504950495049
1941;88.6;0.4452261306532663;132.0;0.6633165829145728;23.656;0.11887437185929647
1942;145.53900000000002;0.7909728260869566;184.0;1.0;0.0;0.0
1943;169.461;0.7031576763485478;0.0;0.0;169.461;0.7031576763485478
1944;162.003;0.6454302788844621;0.0;0.0;162.003;0.6454302788844621
1945;153.40800000000002;0.658403433476395;89.0;0.38197424892703863;84.13900000000001;0.36111158798283266
1946;142.669;0.5551322957198443;132.0;0.5136186770428015;49.744;0.19355642023346303
1947;138.901;0.8267916666666667;0.0;0.0;138.901;0.8267916666666667
1948;168.629;0.729995670995671;206.0;0.8917748917748918;8.108;0.0350995670995671
1949;124.843;0.5806651162790698;83.0;0.386046511627907;62.575;0.291046511627907
1950;160.16199999999998;0.6993973799126637;172.0;0.7510917030567685;25.004;0.1091877729257642
1951;101.547;0.7751679389312977;131.0;1.0;0.0;0.0
1952;133.254;0.8225555555555555;162.0;1.0;0.0;0.0
1953;155.015;0.6079019607843137;2.0;0.00784313725490196;154.336;0.6052392156862746
1954;138.515;0.8100292397660818;171.0;1.0;0.0;0.0
1955;138.695;0.8255654761904762;168.0;1.0;0.0;0.0
1956;135.08200000000002;0.589877729257642;0.0;0.0;135.08200000000002;0.589877729257642
1957;41.744;0.2839727891156463;55.0;0.3741496598639456;25.235999999999997;0.17167346938775507
1958;181.207;0.7550291666666666;0.0;0.0;181.207;0.7550291666666666
1959;128.502;0.7788;165.0;1.0;0.0;0.0
1960;81.438;0.7682830188679246;106.0;1.0;0.0;0.0
1961;77.792;0.36182325581395347;0.0;0.0;77.792;0.36182325581395347
1962;149.846;0.6905345622119816;71.0;0.3271889400921659;89.77800000000002;0.41372350230414756
1963;150.548;0.7101320754716981;23.0;0.10849056603773585;134.442;0.6341603773584906
1964;87.876;0.4371940298507463;14.0;0.06965174129353234;82.426;0.4100796019900498
1965;58.04600000000001;0.3171912568306011;0.0;0.0;58.04600000000001;0.3171912568306011
1966;166.681;0.7408044444444445;71.0;0.31555555555555553;105.868;0.4705244444444444
1967;116.64200000000001;0.5891010101010101;0.0;0.0;116.64200000000001;0.5891010101010101
1968;160.941;0.8007014925373135;159.0;0.7910447761194029;19.061;0.09483084577114428
1969;134.178;0.7892823529411764;0.0;0.0;134.178;0.7892823529411764
1970;124.97200000000001;0.81681045751634;152.0;0.9934640522875817;0.367;0.002398692810457516
1971;92.45499999999998;0.7835169491525422;118.0;1.0;0.0;0.0
1972;120.03599999999999;0.7949403973509933;111.0;0.7350993377483444;17.846;0.11818543046357616
1973;128.52100000000002;0.808308176100629;159.0;1.0;0.0;0.0
1974;132.616;0.8186172839506174;30.0;0.18518518518518517;107.715;0.6649074074074074
1975;108.07300000000001;0.5748563829787234;188.0;1.0;0.0;0.0
1976;2.001;0.6669999999999999;3.0;1.0;0.0;0.0
1977;122.50999999999999;0.8277702702702702;148.0;1.0;0.0;0.0
1978;77.967;0.771950495049505;101.0;1.0;0.0;0.0
1979;135.523;0.8066845238095238;139.0;0.8273809523809523;14.132000000000001;0.08411904761904762
1980;40.24300000000001;0.28541134751773056;0.0;0.0;40.24300000000001;0.28541134751773056
1981;107.25399999999999;0.5309603960396039;0.0;0.0;107.25399999999999;0.5309603960396039
1982;102.71000000000001;0.8216800000000001;125.0;1.0;0.0;0.0
1983;144.59599999999998;0.6259567099567098;0.0;0.0;144.59599999999998;0.6259567099567098
1984;137.77800000000002;0.5669876543209877;0.0;0.0;137.77800000000002;0.5669876543209877
1985;93.06900000000002;0.41364000000000006;107.0;0.47555555555555556;38.916;0.17295999999999997
1986;132.053;0.8305220125786164;159.0;1.0;0.0;0.0
1987;95.51400000000001;0.4873163265306123;0.0;0.0;95.51400000000001;0.4873163265306123
1988;75.99600000000001;0.4198674033149172;0.0;0.0;75.99600000000001;0.4198674033149172
1989;158.548;0.6497868852459017;26.0;0.10655737704918032;144.143;0.59075
1990;135.074;0.8186303030303032;165.0;1.0;0.0;0.0
1991;149.208;0.6243012552301255;0.0;0.0;149.208;0.6243012552301255
1992;126.59100000000001;0.5341392405063291;58.0;0.24472573839662448;87.857;0.370704641350211
1993;139.006;0.842460606060606;144.0;0.8727272727272727;10.168;0.06162424242424242
1994;33.874;0.7207234042553192;47.0;1.0;0.0;0.0
